#t [s],	 res[A],	 res[Q] 
1.25290000000000012470 ,	 0.00006865457012857588 ,	 0.00448459339238044003 
1.25400000000000000355 ,	 0.00006865457012857588 ,	 0.00448459339238044003 
1.25510000000000010445 ,	 0.00006865457012857588 ,	 0.00448459339238044003 
1.25619999999999998330 ,	 0.00006865457012857588 ,	 0.00448459339238044003 
1.25730000000000008420 ,	 0.00006865457012857588 ,	 0.00448459339238044003 
1.25839999999999996305 ,	 0.00006865457012857588 ,	 0.00448459339238044003 
1.25950000000000006395 ,	 0.00006865457012857588 ,	 0.00448459339238044003 
1.26060000000000016485 ,	 0.00006865457012857588 ,	 0.00448459339238044003 
1.26170000000000004370 ,	 0.00006865457012857588 ,	 0.00448459339238044003 
1.26280000000000014460 ,	 0.00006865457012857588 ,	 0.00448459339238044003 
1.26390000000000002345 ,	 0.00006865457012857588 ,	 0.00448459339238044003 
1.26500000000000012434 ,	 0.00006865457012857588 ,	 0.00448459339238044003 
1.26610000000000000320 ,	 0.00006865457012857588 ,	 0.00448459339238044003 
1.26720000000000010409 ,	 0.00006865457012857588 ,	 0.00448459339238044003 
1.26829999999999998295 ,	 0.00006865457012857588 ,	 0.00448459339238044003 
1.26940000000000008384 ,	 0.00006865457012857588 ,	 0.00448459339238044003 
1.27049999999999996270 ,	 0.00006865457012857588 ,	 0.00448459339238044003 
1.27160000000000006359 ,	 0.00006865457012857588 ,	 0.00448459339238044003 
1.27270000000000016449 ,	 0.00009064171105289708 ,	 0.00164252396754483733 
1.27380000000000004334 ,	 0.00009064171105289708 ,	 0.00164252396754483733 
1.27490000000000014424 ,	 0.00009064171105289708 ,	 0.00164252396754483733 
1.27600000000000002309 ,	 0.00009064171105289708 ,	 0.00164252396754483733 
1.27710000000000012399 ,	 0.00009064171105289708 ,	 0.00164252396754483733 
1.27820000000000000284 ,	 0.00009064171105289708 ,	 0.00164252396754483733 
1.27930000000000010374 ,	 0.00009064171105289708 ,	 0.00164252396754483733 
1.28039999999999998259 ,	 0.00009064171105289708 ,	 0.00164252396754483733 
1.28150000000000008349 ,	 0.00009064171105289708 ,	 0.00164252396754483733 
1.28259999999999996234 ,	 0.00009064171105289708 ,	 0.00164252396754483733 
1.28370000000000006324 ,	 0.00009064171105289708 ,	 0.00164252396754483733 
1.28480000000000016414 ,	 0.00009064171105289708 ,	 0.00164252396754483733 
1.28590000000000004299 ,	 0.00009064171105289708 ,	 0.00164252396754483733 
1.28700000000000014388 ,	 0.00009064171105289708 ,	 0.00164252396754483733 
1.28810000000000002274 ,	 0.00009064171105289708 ,	 0.00164252396754483733 
1.28920000000000012363 ,	 0.00009064171105289708 ,	 0.00164252396754483733 
1.29030000000000000249 ,	 0.00009064171105289708 ,	 0.00164252396754483733 
1.29140000000000010338 ,	 0.00009064171105289708 ,	 0.00164252396754483733 
1.29249999999999998224 ,	 0.00009064171105289708 ,	 0.00164252396754483733 
1.29360000000000008313 ,	 0.00009064171105289708 ,	 0.00164252396754483733 
1.29469999999999996199 ,	 0.00009064171105289708 ,	 0.00164252396754483733 
1.29580000000000006288 ,	 0.00009064171105289708 ,	 0.00164252396754483733 
1.29690000000000016378 ,	 0.00008078207966285764 ,	 0.00094103319614025180 
1.29800000000000004263 ,	 0.00008078207966285764 ,	 0.00094103319614025180 
1.29910000000000014353 ,	 0.00008078207966285764 ,	 0.00094103319614025180 
1.30020000000000002238 ,	 0.00008078207966285764 ,	 0.00094103319614025180 
1.30130000000000012328 ,	 0.00008078207966285764 ,	 0.00094103319614025180 
1.30240000000000000213 ,	 0.00008078207966285764 ,	 0.00094103319614025180 
1.30350000000000010303 ,	 0.00008078207966285764 ,	 0.00094103319614025180 
1.30459999999999998188 ,	 0.00008078207966285764 ,	 0.00094103319614025180 
1.30570000000000008278 ,	 0.00008078207966285764 ,	 0.00094103319614025180 
1.30679999999999996163 ,	 0.00008078207966285764 ,	 0.00094103319614025180 
1.30790000000000006253 ,	 0.00008078207966285764 ,	 0.00094103319614025180 
1.30900000000000016342 ,	 0.00008078207966285764 ,	 0.00094103319614025180 
1.31010000000000004228 ,	 0.00008078207966285764 ,	 0.00094103319614025180 
1.31120000000000014317 ,	 0.00008078207966285764 ,	 0.00094103319614025180 
1.31230000000000002203 ,	 0.00008078207966285764 ,	 0.00094103319614025180 
1.31340000000000012292 ,	 0.00008078207966285764 ,	 0.00094103319614025180 
1.31450000000000000178 ,	 0.00008078207966285764 ,	 0.00094103319614025180 
1.31560000000000010267 ,	 0.00008078207966285764 ,	 0.00094103319614025180 
1.31669999999999998153 ,	 0.00008078207966285764 ,	 0.00094103319614025180 
1.31780000000000008242 ,	 0.00008078207966285764 ,	 0.00094103319614025180 
1.31889999999999996128 ,	 0.00008078207966285764 ,	 0.00094103319614025180 
1.32000000000000006217 ,	 0.00005810838119423467 ,	 0.00090998067298161001 
1.32110000000000016307 ,	 0.00005810838119423467 ,	 0.00090998067298161001 
1.32220000000000004192 ,	 0.00005810838119423467 ,	 0.00090998067298161001 
1.32330000000000014282 ,	 0.00005810838119423467 ,	 0.00090998067298161001 
