#Artery,<Nx>,<L> [cm],<rho> [g/cm^3],<Solver>,<Order>,<HR>
0,5,4.00000000000000000000,1.00000000000000000000,KIN_HAT,2.000000,HRQ
1,155,72.50000000000000000000,1.00000000000000000000,KIN_HAT,2.000000,HRQ
2,5,2.00000000000000000000,1.00000000000000000000,KIN_HAT,2.000000,HRQ
3,60,38.50000000000000000000,1.00000000000000000000,KIN_HAT,2.000000,HRQ
4,10,3.89999999999999991118,1.00000000000000000000,KIN_HAT,2.000000,HRQ
5,135,69.09999999999999431566,1.00000000000000000000,KIN_HAT,2.000000,HRQ
6,70,34.50000000000000000000,1.00000000000000000000,KIN_HAT,2.000000,HRQ
7,50,96.90000000000000568434,1.00000000000000000000,KIN_HAT,2.000000,HRQ
8,50,96.90000000000000568434,1.00000000000000000000,KIN_HAT,2.000000,HRQ
