0.00000000000000000000,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2256758.33419102430343627930,	 0.39999999999999996669,	 0.00000000000000000000,	 0.50265482457436694297,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.04000000000000000083,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000
5.70020000000000059970,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2256758.33419102430343627930,	 0.47743118574753229399,	 0.07743118574753232730,	 0.71609631688499575386,	 14.15840624501163880211,	 19.77165070000696900365,	 307604.88353030785219743848,	 307800.34261600940953940153,	 0.00000000000000000000,	 0.00000000000000000000,	 -165.65026575756451165944,	 0.00000000000000000000,	 0.00000000000000000000,	 -8.28251328787822593824,	 0.05000000000000000278,	 0.02023357109151116898,	 0.00000000000000000000,	 0.00000000000000000000
5.70130000000000070060,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2256758.33419102430343627930,	 0.47731948665218171257,	 0.07731948665218174588,	 0.71576128240752168175,	 14.03271147570436383489,	 19.60529553722742690525,	 307144.76117651717504486442,	 307336.94498306821333244443,	 0.00000000000000000000,	 0.00000000000000000000,	 -164.29495200151865219595,	 0.00000000000000000000,	 0.00000000000000000000,	 -8.21474760007593296507,	 0.05000000000000000278,	 0.02006567681784111185,	 0.00000000000000000000,	 0.00000000000000000000
5.70239999999999991331,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2256758.33419102430343627930,	 0.47720713567738654026,	 0.07720713567738657357,	 0.71542437173920292448,	 13.91166925206027116246,	 19.44533874103405324263,	 306682.78347513865446671844,	 306871.84407451545121148229,	 0.00000000000000000000,	 0.00000000000000000000,	 -162.99285813010118317834,	 0.00000000000000000000,	 0.00000000000000000000,	 -8.14964290650505951419,	 0.05000000000000000278,	 0.01990430650232859894,	 0.00000000000000000000,	 0.00000000000000000000
5.70350000000000001421,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2256758.33419102430343627930,	 0.47709417315418861660,	 0.07709417315418864991,	 0.71508570715976083054,	 13.79528075522881103154,	 19.29178644895882399624,	 306219.12508092727512121201,	 306405.21159312338568270206,	 0.00000000000000000000,	 0.00000000000000000000,	 -161.74405418884921914469,	 0.00000000000000000000,	 0.00000000000000000000,	 -8.08720270944246166778,	 0.05000000000000000278,	 0.01974946756497534053,	 0.00000000000000000000,	 0.00000000000000000000
5.70460000000000011511,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2256758.33419102430343627930,	 0.47698064004983675712,	 0.07698064004983679043,	 0.71474541274846981054,	 13.68354483418204736722,	 19.14464170055121883252,	 305753.96221451164456084371,	 305937.22086743288673460484,	 0.00000000000000000000,	 0.00000000000000000000,	 -160.54858493670445795942,	 0.00000000000000000000,	 0.00000000000000000000,	 -8.02742924683522396379,	 0.05000000000000000971,	 0.01960116429623417339,	 0.00000000000000000000,	 0.00000000000000000000
5.70570000000000021600,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2256758.33419102430343627930,	 0.47686657791417502716,	 0.07686657791417506047,	 0.71440361421974574174,	 13.57645813602872308934,	 19.00390460770078959740,	 305287.47241463081445544958,	 305468.04660980013431981206,	 0.00000000000000000000,	 0.00000000000000000000,	 -159.40647122576120864323,	 0.00000000000000000000,	 0.00000000000000000000,	 -7.97032356128806007689,	 0.04999999999999999584,	 0.01945939802840958993,	 0.00000000000000000000,	 0.00000000000000000000
5.70680000000000031690,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2256758.33419102430343627930,	 0.47675202882446177099,	 0.07675202882446180430,	 0.71406043875433622414,	 13.47401522773566462376,	 18.86957251299456927995,	 304819.83428698527859523892,	 304997.86467039684066548944,	 0.00000000000000000000,	 0.00000000000000000000,	 -158.31771128082414179516,	 0.00000000000000000000,	 0.00000000000000000000,	 -7.91588556404120691212,	 0.04999999999999999584,	 0.01932416729481780879,	 0.00000000000000000000,	 0.00000000000000000000
5.70790000000000041780,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2256758.33419102430343627930,	 0.47663703532885676184,	 0.07663703532885679515,	 0.71371601482684543516,	 13.37620871000155986508,	 18.74164013714440812919,	 304351.22725481307134032249,	 304526.85179232817608863115,	 0.00000000000000000000,	 0.00000000000000000000,	 -157.28228188742045290383,	 0.00000000000000000000,	 0.00000000000000000000,	 -7.86411409437102371101,	 0.05000000000000000971,	 0.01919546797776411698,	 0.00000000000000000000,	 0.00000000000000000000
5.70900000000000051870,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2256758.33419102430343627930,	 0.47652164038963107373,	 0.07652164038963110704,	 0.71337047203276016116,	 13.28302933201562652243,	 18.62009972765683585294,	 303881.83134765428258106112,	 304055.18540458823554217815,	 0.00000000000000000000,	 0.00000000000000000000,	 -156.30013959015155933230,	 0.00000000000000000000,	 0.00000000000000000000,	 -7.81500697950757849952,	 0.05000000000000000278,	 0.01907329345778839211,	 0.00000000000000000000,	 0.00000000000000000000
5.71010000000000061959,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2256758.33419102430343627930,	 0.47640588733160932344,	 0.07640588733160935675,	 0.71302394093148235843,	 13.19446615366009467607,	 18.50494127367317886979,	 303411.82719993876526132226,	 303583.04362570983357727528,	 0.00000000000000000000,	 0.00000000000000000000,	 -155.37122244496984535544,	 0.00000000000000000000,	 0.00000000000000000000,	 -7.76856112224849315595,	 0.05000000000000000278,	 0.01895763483059984683,	 0.00000000000000000000,	 0.00000000000000000000
