4.31501899239897568350,	 3.12500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00901183702112962060,	 0.00901183702112966570,	 3.19847083436455248417,	 4.59654611261625678509,	 1.43710740245954537997,	 5.72815581302536358521,	 1597.30652318341594764206,	 30.04621470969169294563,	 1598.33916202651789717493,	 -0.59067404875266527053,	 -13.93100521848674944181,	 5.09370253531042749273,	 0.00480583244982943966
4.31501899239897568350,	 3.37500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00905510231859363302,	 0.00905510231859383251,	 3.19874513393934689631,	 4.92499594987337285801,	 1.53966500726117505593,	 6.12788033074946802969,	 1604.97509749350660968048,	 31.17463261705149690783,	 1606.16038166079897564487,	 -0.62773355292180044174,	 -13.81947408061561510806,	 5.06359418111849546307,	 0.00514868506543600911
4.31501899239897568350,	 3.62500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00909977903609693328,	 0.00909977903609703043,	 3.19902839418172568742,	 5.24501056926253728108,	 1.63956361837924546876,	 6.51342651658750515509,	 1612.89383949194166234520,	 32.04361256667446866686,	 1614.23792392129803374701,	 -0.66226188851639766764,	 -13.69188147977640035435,	 5.02875956899692333479,	 0.00548262758650162278
4.31501899239897568350,	 3.87500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00914549568074063401,	 0.00914549568074069646,	 3.19931826077410219611,	 5.55617357518758314683,	 1.73667422941636950817,	 6.88336863347154981341,	 1620.99690377684373743250,	 32.64643913366185756786,	 1622.50492246640328630747,	 -0.69399366359110337132,	 -13.54623049750540353386,	 4.98855071825663820562,	 0.00580722959197742944
4.31501899239897568350,	 4.12500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00919187294059264914,	 0.00919187294059276190,	 3.19961232941813955577,	 5.85810866527349460853,	 1.83088076371390018338,	 7.23615768785700197441,	 1629.21705905877274744853,	 32.97861619297561475150,	 1630.89312124424145622470,	 -0.72264317733501992613,	 -13.38027745544871471850,	 4.94224503081410837524,	 0.00612210422865891446
4.31501899239897568350,	 4.37500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00923852663941993058,	 0.00923852663942012833,	 3.19990816453999205038,	 6.15048064157770291160,	 1.92208036147245975300,	 7.57011034090350065640,	 1637.48621187333174020750,	 33.03578377712688762813,	 1639.33340833131069302908,	 -0.74790380666746381078,	 -13.19154164518885075097,	 4.88905409890591169386,	 0.00642690914689126105
4.31501899239897568350,	 4.62500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00928506516604965526,	 0.00928506516604974200,	 3.20020328297019807096,	 6.43298820144177163627,	 2.01018111432944213135,	 7.88340109586041570822,	 1645.73495094733607402304,	 32.77743783093769280867,	 1647.75536500353950941644,	 -0.76944932308424285328,	 -12.97735574378417311436,	 4.82814811235954088886,	 0.00672133891499207114
4.31501899239897568350,	 4.87500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00933099008441806710,	 0.00933099008441814343,	 3.20049452361831621161,	 6.70521086641267682893,	 2.09505462888032267799,	 8.17401766964704101781,	 1653.87493078880038410716,	 31.97889708971117173064,	 1656.06955773779691298841,	 -0.78695022660651625657,	 -12.73541350324466314703,	 4.75884659907581841765,	 0.00700496673848884262
4.31501899239897568350,	 5.12500000000000000000,	 0.99938346674662559277,	 3.13772005507180518080,	 100000.00000000000000000000,	 1.00875874271583199082,	 0.00937527596920645530,	 3.19686646621485071051,	 6.96616415516439690947,	 2.17906009800042266278,	 8.45029279261077803653,	 1661.72439949219165100658,	 30.41562813605681725448,	 1664.09855094754038873361,	 -0.80162315403052097906,	 -12.46567747064598741247,	 4.68131623907535665552,	 0.00728791136212162891
4.31501899239897568350,	 5.37500000000000000000,	 0.99447398407953535582,	 3.10696760590084908316,	 100000.00000000000000000000,	 1.00389077506681045904,	 0.00941679098727515353,	 3.16608667216306427505,	 7.21562025414752294949,	 2.27903434153867445744,	 8.77736571775194995837,	 1669.08274485682886734139,	 28.29980946777138228754,	 1671.67974362178506453347,	 -0.82239462177896638373,	 -12.16867760761575922857,	 4.59633424834019965743,	 0.00764073552433638167
4.31501899239897568350,	 5.62500000000000000000,	 0.98477590650225732549,	 3.04666498943546493194,	 100000.00000000000000000000,	 0.99423101476005426580,	 0.00945510825779702531,	 3.10544960623703225622,	 7.45245887491973135752,	 2.39980029299206787385,	 9.17381191098784576354,	 1675.87430422607735636120,	 25.91117038153365470521,	 1678.75382494919972486969,	 -0.85135959049353482353,	 -11.84821065285419017243,	 4.50577750571495538878,	 0.00808460821023507768
4.31501899239897568350,	 5.87500000000000000000,	 0.97052803287081845784,	 2.95914360022182121313,	 100000.00000000000000000000,	 0.98001791792022752148,	 0.00948988504940911047,	 3.01729591549709885712,	 7.67543394267775802575,	 2.54381212769223274961,	 9.64888071481332332269,	 1682.03833004759576397191,	 23.24095428184035583286,	 1685.27382011809277173597,	 -0.88926154503484378111,	 -11.50816352760397087707,	 4.41148798550177545508,	 0.00863168444469443637
4.31501899239897568350,	 6.12500000000000000000,	 0.95208119312000605294,	 2.84772367318000707570,	 100000.00000000000000000000,	 0.96160186289939075799,	 0.00952066977938462525,	 2.90496206014058167000,	 7.88345109698196466752,	 2.71378797167507768151,	 10.21276954319562335627,	 1687.49478136699758579198,	 20.19880487312373062991,	 1691.17710394460164025077,	 -0.93692218081528877427,	 -11.15194022904323745138,	 4.31509404384154393597,	 0.00929620719713051061
