3.75219042817302295134,	 2.87500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00045986470544323588,	 0.00045986470544341293,	 3.14448273312035109228,	 0.03916510550119578493,	 0.01245518224306839915,	 1.44512172731700427875,	 81.50889680586338670309,	 0.14425679127131035839,	 81.50897437164573489099,	 -0.20598707498996673970,	 -555.79813436382164582028,	 3312.84915948404932350968,	 0.00004182902876421605
3.75219042817302295134,	 3.12500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00046008139193687292,	 0.00046008139193695109,	 3.14448409522798844051,	 0.04267081872837253514,	 0.01357005392176382358,	 1.56348522369866338444,	 81.54730348685598073644,	 0.16373340010285197810,	 81.54739556003769962444,	 -0.22228688165596138804,	 -550.50282827148828346253,	 3258.02000093630613264395,	 0.00004557316812217381
3.75219042817302295134,	 3.37500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00046032658883743416,	 0.00046032658883744018,	 3.14448563655454949028,	 0.04620066700566993062,	 0.01469259915471980184,	 1.68012396912126238391,	 81.59076350591480775165,	 0.18470218536602905912,	 81.59087144214976206058,	 -0.23819822706834423154,	 -544.83788118236236641678,	 3199.90530232576656999299,	 0.00004934307654468045
3.75219042817302295134,	 3.62500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00046060242718204414,	 0.00046060242718216812,	 3.14448737049603499472,	 0.04975609716754136186,	 0.01582327778905738211,	 1.79493954872679206680,	 81.63965457953899829135,	 0.20719159496127881326,	 81.63977976759899490844,	 -0.25369583421229979781,	 -538.82086429176456476853,	 3138.79482447919781407109,	 0.00005314029813771343
3.75219042817302295134,	 3.87500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00046091106553580730,	 0.00046091106553590569,	 3.14448931062151837423,	 0.05333845394029866627,	 0.01696251717572420242,	 1.90784241279179944684,	 81.69435930339544427170,	 0.23121169982584943714,	 81.69450316688991620140,	 -0.26875573748903192062,	 -532.46994435612566576310,	 3074.98357298854489272344,	 0.00005696626785312729
3.75219042817302295134,	 4.12500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00046125466334534515,	 0.00046125466334536158,	 3.14449147050565303019,	 0.05694897427213096996,	 0.01811071036645974311,	 2.01875240882780904172,	 81.75526042945192273237,	 0.25674763879147705081,	 81.75542442836690781860,	 -0.28335536732408767024,	 -525.80385041033594006876,	 3008.77014522447643685155,	 0.00006082230543350661
3.75219042817302295134,	 4.37500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00046163533725285255,	 0.00046163533725294541,	 3.14449386345406090015,	 0.06058875741294561523,	 0.01926820659983481676,	 2.12759926699805124173,	 81.82273312279119181767,	 0.28364695049982319164,	 81.82291875468398245630,	 -0.29747363317357644608,	 -518.84203311972157734999,	 2940.45724879217368652462,	 0.00006470958346181007
3.75219042817302295134,	 4.62500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00046205481661965031,	 0.00046205481661976220,	 3.14449650033792460491,	 0.06425829034282629082,	 0.02043516039401562304,	 2.23432289880973877771,	 81.89708390470183019261,	 0.30960595081520536631,	 81.89729270259199722659,	 -0.31109104416104060853,	 -511.60833227769910536153,	 2870.39072400256645778427,	 0.00006862862057239970
3.75219042817302295134,	 4.87500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00046250871951514227,	 0.00046250871951526528,	 3.14449935361233556819,	 0.06794901121615073980,	 0.02160884884205567513,	 2.33887111216598064800,	 81.97753609819879727638,	 0.32172642696432984799,	 81.97776956937293846295,	 -0.32419057970289721915,	 -504.19334347577847665889,	 2799.63491997645178344101,	 0.00007257027217715973
3.75219042817302295134,	 5.12500000000000000000,	 0.99938346674662559277,	 3.13772005507180518080,	 100000.00000000000000000000,	 0.99984642913673960063,	 0.00046296239011399387,	 3.14062781348949693339,	 0.07162126320228923149,	 0.02280475989375897738,	 2.44426154033573572733,	 82.05794711818398923242,	 0.30617284149283674477,	 82.05820714672088911357,	 -0.33738743546877952850,	 -496.89454692322249229619,	 2731.46634490148790064268,	 0.00007661016253256408
3.75219042817302295134,	 5.37500000000000000000,	 0.99447398407953535582,	 3.10696760590084908316,	 100000.00000000000000000000,	 0.99493735649669012844,	 0.00046337241715478102,	 3.10986364646261082001,	 0.07529822672619125579,	 0.02421271003693073118,	 2.57016964708631245884,	 82.13062251894521637041,	 0.26906389398386082457,	 82.13091564660888366234,	 -0.35466876509642430992,	 -489.55648600417072202617,	 2664.34566151553917734418,	 0.00008154044214373008
3.75219042817302295134,	 5.62500000000000000000,	 0.98477590650225732549,	 3.04666498943546493194,	 100000.00000000000000000000,	 0.98523962790760266639,	 0.00046372140534541338,	 3.04953495487424275368,	 0.07897126750565360009,	 0.02589616734165627390,	 2.72345485965653866245,	 82.19247906517593094122,	 0.22040154094987718381,	 82.19281437091741793211,	 -0.37736202692996162478,	 -482.27206239321287739585,	 2599.42281365754979560734,	 0.00008763792509699718
3.75219042817302295134,	 5.87500000000000000000,	 0.97052803287081845784,	 2.95914360022182121313,	 100000.00000000000000000000,	 0.97099202702924125585,	 0.00046399415842285650,	 2.96197371642416307225,	 0.08262097458712208686,	 0.02789389187655118632,	 2.90872711469737277312,	 82.24082328942014896711,	 0.15870078263215647851,	 82.24121232402215753154,	 -0.40637807044527074485,	 -475.18677395679048913735,	 2538.33749698045903642196,	 0.00009508867829381931
