3.93979994958167445418,	 3.62500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.34037762984804253996,	 0.34037762984804265098,	 5.64422365932957781354,	 531.18898903052706828021,	 94.11196669226637823158,	 128.20392792302442330765,	 60330.36407862554187886417,	 556.81228983697860712709,	 64758.89521596866688923910,	 8.93082554831705976994,	 4.27269072293734630819,	 1.18578862671140572438,	 0.27306044473959750762
3.93979994958167445418,	 3.87500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.34117330089810482541,	 0.34117330089810488092,	 5.65092666334381643622,	 530.42309311981489372556,	 93.86479859321838148389,	 127.13063858910290093718,	 60471.39310029921034583822,	 572.42470475876314139896,	 64876.69330777193681569770,	 9.20722650333383896282,	 4.41914756101046179992,	 1.17649483729125114984,	 0.27226250290569886658
3.93979994958167445418,	 4.12500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.34199241012699399533,	 0.34199241012699410636,	 5.65783127388824347292,	 529.65966283076500076277,	 93.61531604436939346670,	 125.95801221182284734823,	 60616.57643100492714438587,	 590.49889563173564965837,	 64998.49013004850712604821,	 9.51711601209080981789,	 4.58285424286087739176,	 1.16638309390020444845,	 0.27145597646311253603
3.93979994958167445418,	 4.37500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.34283906752816406538,	 0.34283906752816412089,	 5.66497253006694290178,	 528.89850526457303203642,	 93.36294261930393645343,	 124.66493835913789212100,	 60766.64254811507998965681,	 611.74136095481037500576,	 65124.96207538279850268736,	 9.86648056134914419602,	 4.76693500613143417155,	 1.15536131809400544057,	 0.27063881121450561462
3.93979994958167445418,	 4.62500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.34371810064537422491,	 0.34371810064537428042,	 5.67239162958161902139,	 528.13784817474356714229,	 93.10673216223219128551,	 123.22162254895155797385,	 60922.44711148233182029799,	 628.78881796421512717643,	 65256.87889844715391518548,	 10.26347912813093188333,	 4.97564304573352522709,	 1.14331049454591560099,	 0.26980781824771682409
3.93979994958167445418,	 4.87500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.34461284803489755646,	 0.34461284803489772299,	 5.67994834460340136673,	 527.31034922523383556836,	 92.83717337433866134688,	 121.57823253752601999622,	 61081.03695709718886064366,	 588.10715577575342649652,	 65390.40733716569957323372,	 10.71752143732730999659,	 5.21431469554362614360,	 1.13010941046239921093,	 0.26893715745670271344
3.93979994958167445418,	 5.12500000000000000000,	 0.99938346674662559277,	 3.13772005507180518080,	 100000.00000000000000000000,	 1.34476058704849266157,	 0.34537712030186717982,	 5.68119657909354369707,	 526.12038303754741264129,	 92.60731884787058731945,	 119.77776855948326328871,	 61216.50068937020841985941,	 417.89170026436170246598,	 65504.55844146579329390079,	 11.24694247394842605559,	 5.48607404319593339181,	 1.11583388433230101811,	 0.26825656202763131786
3.93979994958167445418,	 5.37500000000000000000,	 0.99447398407953535582,	 3.10696760590084908316,	 100000.00000000000000000000,	 1.34026568283613412014,	 0.34579169875659881983,	 5.64328089876236660416,	 524.81441047444013747736,	 92.99810161665666896624,	 118.60058520421391392574,	 61289.98280722936760867015,	 141.79059891354131650587,	 65614.30625938036246225238,	 11.94684215680787708891,	 5.78358962304378820818,	 1.10113815884323340555,	 0.26983989806540686907
3.93979994958167445418,	 5.62500000000000000000,	 0.98477590650225732549,	 3.04666498943546493194,	 100000.00000000000000000000,	 1.33055301069888454180,	 0.34577710419662721630,	 5.56178551506773377611,	 523.47745629008068135590,	 94.12039620584066312858,	 118.21412420827243749955,	 61287.39598882697464432567,	 -177.55608860055534137246,	 65716.72047979918716009706,	 12.83741840476856133080,	 6.09612215928586564928,	 1.08675932799821040042,	 0.27409125875382628346
3.93979994958167445418,	 5.87500000000000000000,	 0.97052803287081845784,	 2.95914360022182121313,	 100000.00000000000000000000,	 1.31581885514899776801,	 0.34529082227817925466,	 5.43928836242908442244,	 522.11949259609957607609,	 95.99040495858740484891,	 118.65203721965269778593,	 61201.20476292909006588161,	 -528.64690917110169721127,	 65808.28368498588679358363,	 13.92961837121133861217,	 6.41408970372138043103,	 1.07324964985412396601,	 0.28109770562729330390
3.93979994958167445418,	 6.12500000000000000000,	 0.95208119312000605294,	 2.84772367318000707570,	 100000.00000000000000000000,	 1.29636701191898806584,	 0.34428581879898190188,	 5.27965829066777292411,	 520.74097619003259751480,	 98.63156809039796257821,	 119.94627730314988411919,	 61023.07253424142982112244,	 -917.40639227371127617516,	 65887.16564622682926710695,	 15.24256249902882487390,	 6.72972855933701996634,	 1.06095974693955286128,	 0.29099094965504318511
3.93979994958167445418,	 6.37500000000000000000,	 0.92988960966603684266,	 2.71651847365363829923,	 100000.00000000000000000000,	 1.27259247629221117215,	 0.34270286662617432949,	 5.08778294677424902659,	 519.34121731222239759518,	 102.07613468288668912010,	 122.13170379698060230567,	 60742.50156679223437095061,	 -1353.65812039218508289196,	 65952.27020269165222998708,	 16.80314346213983967004,	 7.03692950004938033715,	 1.05007397866345875137,	 0.30395344516224415132
3.93979994958167445418,	 6.62500000000000000000,	 0.90449971294318964876,	 2.57019893576894453702,	 100000.00000000000000000000,	 1.24496693268612124150,	 0.34046721974293153723,	 4.86928848508009970431,	 517.92022280965693425969,	 106.36466177689145240493,	 125.24780750200790180315,	 60346.24347404533182270825,	 -1849.24864914615727684577,	 66002.96411150158382952213,	 18.64557829166126268206,	 7.33101047612490308580,	 1.04064960869137235200,	 0.32021818006326940864
