0.00000000000000000000,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.50000000000000000000,	 0.00000000000000000000,	 7.06858347057703451100,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.04000000000000000083,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000
5.70020000000000059970,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 2.38895753380623299122,	 0.88895753380623299122,	 17.92944029088149449080,	 5.95916253609973978200,	 0.33236746041260611939,	 842275.01641101483255624771,	 842275.07164507918059825897,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.55650626804245939550,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.02782531340212297463,	 0.05000000000000000971,	 0.00031231380469728763,	 0.00000000000000000000,	 0.00000000000000000000
5.70130000000000070060,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 2.38875934309528981103,	 0.88875934309528981103,	 17.92646551961104250950,	 6.76864988499933240007,	 0.37757860731635145557,	 842196.78065392887219786644,	 842196.85193673125468194485,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.63225893124435939008,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.03161294656221796950,	 0.05000000000000000278,	 0.00035481181911346370,	 0.00000000000000000000,	 0.00000000000000000000
5.70239999999999991331,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 2.38861372207294753167,	 0.88861372207294753167,	 17.92427995774175997212,	 9.28921938210736897190,	 0.51824784058314254942,	 842216.57019859633874148130,	 842216.70448900852352380753,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.86786379194603890941,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.04339318959730194963,	 0.05000000000000000278,	 0.00048701399000136562,	 0.00000000000000000000,	 0.00000000000000000000
5.70350000000000001421,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 2.38852203308155575101,	 0.88852203308155575101,	 17.92290390635868035929,	 13.16786718724606508601,	 0.73469496104224352173,	 842257.64058878493960946798,	 842257.91047712787985801697,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.23037585731520415777,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.06151879286576021622,	 0.05000000000000000971,	 0.00069042948942257126,	 0.00000000000000000000,	 0.00000000000000000000
5.70460000000000011511,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 2.38847206989599225579,	 0.88847206989599225579,	 17.92215409036752760130,	 17.83543940804930372224,	 0.99516159263663350742,	 842311.38986240956000983715,	 842311.88503570726606994867,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.66660787903618801131,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.08333039395180941167,	 0.05000000000000000971,	 0.00093521275239148033,	 0.00000000000000000000,	 0.00000000000000000000
5.70570000000000021600,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 2.38845161364477043264,	 0.88845161364477043264,	 17.92184710037073713806,	 22.71648494502911930226,	 1.26753033980293250416,	 842345.50019803736358880997,	 842346.30351461854297667742,	 0.00000000000000000000,	 0.00000000000000000000,	 -2.12276494539269267037,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.10613824726963463907,	 0.05000000000000000278,	 0.00119117902348722833,	 0.00000000000000000000,	 0.00000000000000000000
5.70680000000000031690,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 2.38844472179470557194,	 0.88844472179470557194,	 17.92174367394651923746,	 27.31828796271332393530,	 1.52430971336940257466,	 842373.81936602725181728601,	 842374.98112607840448617935,	 0.00000000000000000000,	 0.00000000000000000000,	 -2.55280718780716631144,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.12764035939035831002,	 0.04999999999999999584,	 0.00143249302875028250,	 0.00000000000000000000,	 0.00000000000000000000
5.70790000000000041780,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 2.38845014725942617062,	 0.88845014725942617062,	 17.92182509420932845501,	 31.54791048352574378555,	 1.76030679451944327418,	 842410.28149162919726222754,	 842411.83083163457922637463,	 0.00000000000000000000,	 0.00000000000000000000,	 -2.94803188006962235690,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.14740159400348112895,	 0.05000000000000000278,	 0.00165427296401878562,	 0.00000000000000000000,	 0.00000000000000000000
5.70900000000000051870,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 2.38846478925858951570,	 0.88846478925858951570,	 17.92204482846057089773,	 35.58215118554370803849,	 1.98538456555127740266,	 842444.91526309482287615538,	 842446.88613903138320893049,	 0.00000000000000000000,	 0.00000000000000000000,	 -3.32495513348985349822,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.16624775667449268046,	 0.05000000000000000278,	 0.00186578723271742827,	 0.00000000000000000000,	 0.00000000000000000000
5.71010000000000061959,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 2.38848734118010774807,	 0.88848734118010774807,	 17.92238327050782231709,	 39.59198031701965447837,	 2.20908010499754459133,	 842490.00738604844082146883,	 842492.44740350358188152313,	 0.00000000000000000000,	 0.00000000000000000000,	 -3.69954668280733534047,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.18497733414036676702,	 0.05000000000000000278,	 0.00207599780372803855,	 0.00000000000000000000,	 0.00000000000000000000
