, 	 0.05000000000000000278, 	 0.07500000000000001110, 	 0.08000000000000001554, 	 0.09000000000000001055, 	 0.10000000000000000555, 	 0.11000000000000001443, 	 0.11999999999999999556, 	 0.15000000000000002220, 	 0.18000000000000002109
0.01250000000000000069, 	 29.45614203144764076114, 	 -0.00036824272433644625, 	 -0.00050095946486027575, 	 -0.00068576986494701779, 	 -0.00106552990899750483, 	 -0.00154170020244450562, 	 -0.00223504936020879966, 	 -0.00533946793363371947, 	 -0.00794195854795089022
0.03750000000000000555, 	 58.65935003160443983461, 	 -0.00074539362240606637, 	 -0.00102467853905119539, 	 -0.00139644427396231653, 	 -0.00215214101051148382, 	 -0.00312973075855278032, 	 -0.00453808949628722869, 	 -0.01078706902300535959, 	 -0.01602522369425780219
0.06250000000000000000, 	 87.61289288471343184028, 	 -0.00112506106868790791, 	 -0.00152511532994247835, 	 -0.00210245780657273597, 	 -0.00323554138916600648, 	 -0.00470731463357576541, 	 -0.00681998505157126698, 	 -0.01621029394599970974, 	 -0.02409738306255741758
0.08750000000000000833, 	 116.31549832612017780775, 	 -0.00151184152256803907, 	 -0.00201274350582420283, 	 -0.00281842671941319456, 	 -0.00432318519755572894, 	 -0.00629773233849816386, 	 -0.00910902239405382563, 	 -0.02164366872239322642, 	 -0.03217526026190833249
0.11250000000000000278, 	 144.76620143686849928599, 	 -0.00190639189390066389, 	 -0.00249059696008028381, 	 -0.00353689270007743507, 	 -0.00541248698836217443, 	 -0.00789128956779779588, 	 -0.01139520693930725151, 	 -0.02707879996445517953, 	 -0.04025466614726190551
0.13750000000000001110, 	 172.96417967447922592328, 	 -0.00231233428305498666, 	 -0.00296169770232484336, 	 -0.00426194841424663851, 	 -0.00650204612114187175, 	 -0.00949191335351188929, 	 -0.01368048347554222562, 	 -0.03251665913052794593, 	 -0.04833493919222239810
0.16250000000000000555, 	 200.90882471906280670737, 	 -0.00272450587505946272, 	 -0.00342884728236490972, 	 -0.00499066159846857371, 	 -0.00759095826412909888, 	 -0.01109474086709240533, 	 -0.01596335650416399327, 	 -0.03795684589455666780, 	 -0.05641705633836432282
0.18750000000000000000, 	 228.59975859117196250736, 	 -0.00313671247924481034, 	 -0.00389500326948869977, 	 -0.00572404028310814945, 	 -0.00867928286245496505, 	 -0.01269653985776046656, 	 -0.01824535822720165651, 	 -0.04339970529424960755, 	 -0.06449921638860124651
0.21250000000000002220, 	 256.03669166548223756763, 	 -0.00354164564130921358, 	 -0.00436254951561849784, 	 -0.00646197065180885259, 	 -0.00976731531575954909, 	 -0.01429601492084061828, 	 -0.02052739408654096279, 	 -0.04884701801904814400, 	 -0.07258305726864509866
0.23750000000000001665, 	 283.21931206352070375942, 	 -0.00393704488254199153, 	 -0.00483280992809439688, 	 -0.00720524443516994996, 	 -0.01085342211411396626, 	 -0.01589204944142902365, 	 -0.02281052470701422710, 	 -0.05430183390646263486, 	 -0.08066773828892064013
0.26250000000000001110, 	 310.14741270330290490165, 	 -0.00432301224337437034, 	 -0.00530763471324677272, 	 -0.00795475647448235131, 	 -0.01193660460280785741, 	 -0.01748477295360120060, 	 -0.02509574218848833679, 	 -0.05976612704396426501, 	 -0.08875276891044692196
0.28750000000000003331, 	 336.82108482565894291838, 	 -0.00470104150875776984, 	 -0.00578696150868823582, 	 -0.00871012326523752482, 	 -0.01301574083337176356, 	 -0.01907513820073071520, 	 -0.02738391651831476731, 	 -0.06524103131007037704, 	 -0.09683658632173562653
0.31250000000000000000, 	 363.24062378965049902035, 	 -0.00507333452153652630, 	 -0.00627056739299571182, 	 -0.00946964253092453037, 	 -0.01409204914835818050, 	 -0.02066437528245408314, 	 -0.02967593688665815660, 	 -0.07072731756148516180, 	 -0.10491685378280880825
0.33750000000000002220, 	 389.40619604923386987139, 	 -0.00544290441174366361, 	 -0.00675797973752724837, 	 -0.01022946967432466006, 	 -0.01516775350431337314, 	 -0.02225356509223197846, 	 -0.03197302817347724702, 	 -0.07622213506409480921, 	 -0.11299113550994441257
