, 	 0.05000000000000000278, 	 0.07500000000000001110, 	 0.08000000000000001554, 	 0.09000000000000001055, 	 0.10000000000000000555, 	 0.11000000000000001443, 	 0.11999999999999999556, 	 0.15000000000000002220, 	 0.18000000000000002109
0.01250000000000000069, 	 0.00166188485056460050, 	 -0.00000002077587085233, 	 -0.00000002826361119450, 	 -0.00000003869042147349, 	 -0.00000006011608754755, 	 -0.00000008698111942649, 	 -0.00000012609915670194, 	 -0.00000030124721890580, 	 -0.00000044807702848270
0.03750000000000000555, 	 0.00330949942655143180, 	 -0.00000004205433173904, 	 -0.00000005781129573851, 	 -0.00000007878593131414, 	 -0.00000012142155400822, 	 -0.00000017657614922838, 	 -0.00000025603428224549, 	 -0.00000060859519794863, 	 -0.00000090412642825750
0.06250000000000000000, 	 0.00494302815500410799, 	 -0.00000006347477358449, 	 -0.00000008604541814061, 	 -0.00000011861847937854, 	 -0.00000018254587483301, 	 -0.00000026558178827845, 	 -0.00000038477645251799, 	 -0.00000091456789899827, 	 -0.00000135954925145125
0.08750000000000000833, 	 0.00656239925607636845, 	 -0.00000008529652392984, 	 -0.00000011355689199858, 	 -0.00000015901269966696, 	 -0.00000024390960556118, 	 -0.00000035531149849843, 	 -0.00000051392155498295, 	 -0.00000122111324425442, 	 -0.00000181529466869452
0.11250000000000000278, 	 0.00816755829004582948, 	 -0.00000010755664483237, 	 -0.00000014051688615242, 	 -0.00000019954780187433, 	 -0.00000030536687794287, 	 -0.00000044521833740328, 	 -0.00000064290570568175, 	 -0.00000152775768737213, 	 -0.00000227112633281331
0.13750000000000001110, 	 0.00975845884992239572, 	 -0.00000013045949154882, 	 -0.00000016709589921949, 	 -0.00000024045469009016, 	 -0.00000036683866922530, 	 -0.00000053552386417501, 	 -0.00000077183862744599, 	 -0.00000183455603727685, 	 -0.00000272700692130311
0.16250000000000000555, 	 0.01133506661493177692, 	 -0.00000015371378345614, 	 -0.00000019345199198893, 	 -0.00000028156792882169, 	 -0.00000042827395818029, 	 -0.00000062595372287726, 	 -0.00000090063594576407, 	 -0.00000214148570771738, 	 -0.00000318299155201816
0.18750000000000000000, 	 0.01289736025986712616, 	 -0.00000017697005070365, 	 -0.00000021975202721446, 	 -0.00000032294439027783, 	 -0.00000048967609830108, 	 -0.00000071632555333059, 	 -0.00000102938410594753, 	 -0.00000244856616559112, 	 -0.00000363897860330164
0.21250000000000002220, 	 0.01444532344436949035, 	 -0.00000019981595793840, 	 -0.00000024613049940569, 	 -0.00000036457765309963, 	 -0.00000055106175595681, 	 -0.00000080656627045339, 	 -0.00000115813419198746, 	 -0.00000275589787538737, 	 -0.00000409506048519573
0.23750000000000001665, 	 0.01597893857258010294, 	 -0.00000022212397119439, 	 -0.00000027266210205319, 	 -0.00000040651238568193, 	 -0.00000061233877027780, 	 -0.00000089661287557578, 	 -0.00000128694604348766, 	 -0.00000306365290567298, 	 -0.00000455118976698626
0.26250000000000001110, 	 0.01749819396114907569, 	 -0.00000024389984762116, 	 -0.00000029945122176388, 	 -0.00000044879907420231, 	 -0.00000067345079796727, 	 -0.00000098647267700550, 	 -0.00000141587563330599, 	 -0.00000337194263266233, 	 -0.00000500733877298959
0.28750000000000003331, 	 0.01900309475778927740, 	 -0.00000026522786501780, 	 -0.00000032649434030756, 	 -0.00000049141608174542, 	 -0.00000073433453994531, 	 -0.00000107619942772289, 	 -0.00000154497204553940, 	 -0.00000368083102841402, 	 -0.00000546341933084952
0.31250000000000000000, 	 0.02049365762635105628, 	 -0.00000028623224895615, 	 -0.00000035377888054990, 	 -0.00000053426736754170, 	 -0.00000079505873399167, 	 -0.00000116586252846438, 	 -0.00000167428544728939, 	 -0.00000399036158398605, 	 -0.00000591929960427206
0.33750000000000002220, 	 0.02196989195799341904, 	 -0.00000030708299720313, 	 -0.00000038127817727744, 	 -0.00000057713602350349, 	 -0.00000085574885329444, 	 -0.00000125552296209572, 	 -0.00000180388494489553, 	 -0.00000430037346386768, 	 -0.00000637484216868469
0.36250000000000004441, 	 0.02343179505055070430, 	 -0.00000032801706050888, 	 -0.00000040896729445103, 	 -0.00000061983529066137, 	 -0.00000091658707250042, 	 -0.00000134527962378311, 	 -0.00000193384883701964, 	 -0.00000461012935930357, 	 -0.00000682993232532274
0.38750000000000001110, 	 0.02487937307079358604, 	 -0.00000034932767804978, 	 -0.00000043678919737979, 	 -0.00000066244776724911, 	 -0.00000097773740322383, 	 -0.00000143518730804537, 	 -0.00000206419524710732, 	 -0.00000491909875452626, 	 -0.00000728449744610875
0.41250000000000003331, 	 0.02631265982571109885, 	 -0.00000037124899904549, 	 -0.00000046467506009015, 	 -0.00000070507744049614, 	 -0.00000103923306056947, 	 -0.00000152529134911530, 	 -0.00000219484272369445, 	 -0.00000522725617869655, 	 -0.00000773850935024924
0.43750000000000000000, 	 0.02773170139185617347, 	 -0.00000039392260557835, 	 -0.00000049267515516541, 	 -0.00000074782404754362, 	 -0.00000110111773854125, 	 -0.00000161562000934055, 	 -0.00000232568936801538, 	 -0.00000553472234116048, 	 -0.00000819197355862460
0.46250000000000002220, 	 0.02913652123676137989, 	 -0.00000041745618901644, 	 -0.00000052079654349465, 	 -0.00000079071350270514, 	 -0.00000116341420829666, 	 -0.00000170617494047535, 	 -0.00000245654552924674, 	 -0.00000584168064012824, 	 -0.00000864491512302832
0.48750000000000004441, 	 0.03052711487034854426, 	 -0.00000044159497081362, 	 -0.00000054906451113607, 	 -0.00000083357641993286, 	 -0.00000122607531886119, 	 -0.00000179696408497075, 	 -0.00000258715812820119, 	 -0.00000614830552815475, 	 -0.00000909736833605766
0.51250000000000006661, 	 0.03190348909131806437, 	 -0.00000046544909641786, 	 -0.00000057742111515321, 	 -0.00000087624239456583, 	 -0.00000128899219952550, 	 -0.00000188800572249059, 	 -0.00000271749462099872, 	 -0.00000645472737293224, 	 -0.00000954937224187494
0.53749999999999997780, 	 0.03326569677864607555, 	 -0.00000048880709957321, 	 -0.00000060574671680234, 	 -0.00000091856168446754, 	 -0.00000135201346967806, 	 -0.00000197929301764122, 	 -0.00000284762758147265, 	 -0.00000676104931482939, 	 -0.00001000096960218565
0.56250000000000000000, 	 0.03461381420715287788, 	 -0.00000051167057628639, 	 -0.00000063414875953183, 	 -0.00000096048730527958, 	 -0.00000141505941254118, 	 -0.00000207085723611924, 	 -0.00000297767101461326, 	 -0.00000706735922566706, 	 -0.00001045220592560572
0.58750000000000002220, 	 0.03594788103010262276, 	 -0.00000053407478678072, 	 -0.00000066264664810258, 	 -0.00000100206369276062, 	 -0.00000147822812064252, 	 -0.00000216271518535372, 	 -0.00000310772312669813, 	 -0.00000737380896736429, 	 -0.00001090312702454360
0.61250000000000004441, 	 0.03726788079628729627, 	 -0.00000055607231546899, 	 -0.00000069131805981114, 	 -0.00000104338041558479, 	 -0.00000154157024890541, 	 -0.00000225486184468833, 	 -0.00000323795560620901, 	 -0.00000768059192181733, 	 -0.00001135377564479480
0.63750000000000006661, 	 0.03857379734557493667, 	 -0.00000057778517443460, 	 -0.00000072023422165657, 	 -0.00000108455089345643, 	 -0.00000160511156294173, 	 -0.00000234727417688095, 	 -0.00000336854385992240, 	 -0.00000798768299651823, 	 -0.00001180418814537188
0.66250000000000008882, 	 0.03986568320358267054, 	 -0.00000059934605898396, 	 -0.00000074942555974071, 	 -0.00000112569303632076, 	 -0.00000166890696676086, 	 -0.00000243990094986512, 	 -0.00000349960031410988, 	 -0.00000829509262752196, 	 -0.00001225439149878849
0.68750000000000000000, 	 0.04114364847851093715, 	 -0.00000062087219969461, 	 -0.00000077888921878998, 	 -0.00000116700494080814, 	 -0.00000173301582554924, 	 -0.00000253268738641002, 	 -0.00000363125170373188, 	 -0.00000860263756406729, 	 -0.00001270439991952652
