50000.00000000000000000000, 	 4200000, 	 0.650, 	 400, 	 0.350, 	 0.82522596685470062106, 	 0.12718507976651519109, 	 0.06965317532865396288,  	 0.07934339631541156845
50000.00000000000000000000, 	 4200000, 	 0.650, 	 425, 	 0.350, 	 0.93918269322849035063, 	 0.08923737621029990963, 	 0.03757681291703104248,  	 0.04691369686896765256
50000.00000000000000000000, 	 4200000, 	 0.650, 	 450, 	 0.350, 	 0.92189817082643987778, 	 0.08795436882190228733, 	 0.04239209625005719434,  	 0.05298787494099247569
50000.00000000000000000000, 	 4200000, 	 0.650, 	 475, 	 0.350, 	 0.77979620658880088868, 	 0.12498422941739045777, 	 0.07851272670863486403,  	 0.08880032458314356114
50000.00000000000000000000, 	 4200000, 	 0.700, 	 400, 	 0.350, 	 0.92709913228714591060, 	 0.08228837555734423714, 	 0.04417152466817347856,  	 0.05068286820010579202
50000.00000000000000000000, 	 4200000, 	 0.700, 	 425, 	 0.350, 	 0.75104642230898188693, 	 0.12369899963529830400, 	 0.08732849978677481584,  	 0.09388014414217991932
50000.00000000000000000000, 	 4200000, 	 0.700, 	 450, 	 0.350, 	 0.42290651583741323272, 	 0.16445163082431346613, 	 0.13984665449238842250,  	 0.14318416029522368360
50000.00000000000000000000, 	 4200000, 	 0.700, 	 475, 	 0.350, 	 -0.04954227401445998602, 	 0.20443017868925947300, 	 0.19157057845382777228,  	 0.19327357760395560971
50000.00000000000000000000, 	 4200000, 	 0.750, 	 400, 	 0.350, 	 0.33163193703390048128, 	 0.16462877893587996025, 	 0.15248183641331355953,  	 0.15353540009910413011
50000.00000000000000000000, 	 4200000, 	 0.750, 	 425, 	 0.350, 	 -0.25384666161383195870, 	 0.20989033262868203589, 	 0.21168879409897894961,  	 0.21070558518647958257
50000.00000000000000000000, 	 4200000, 	 0.750, 	 450, 	 0.350, 	 -1.01724267997461659263, 	 0.25423708311312054331, 	 0.26982375935440733317,  	 0.26754990069519790641
50000.00000000000000000000, 	 4200000, 	 0.750, 	 475, 	 0.350, 	 -1.94908674123578018467, 	 0.29793915663032338736, 	 0.32693600076023909828,  	 0.32371662718821531124
50000.00000000000000000000, 	 4400000, 	 0.550, 	 400, 	 0.350, 	 -0.26070454382584773434, 	 0.24008684388524414999, 	 0.20988242257218756026,  	 0.21213374669411425022
50000.00000000000000000000, 	 4400000, 	 0.550, 	 425, 	 0.350, 	 0.16975915834623789280, 	 0.20784560789911993295, 	 0.16777031034192343983,  	 0.17205985448469729437
50000.00000000000000000000, 	 4400000, 	 0.550, 	 450, 	 0.350, 	 0.49568183670267840224, 	 0.17592124449419810350, 	 0.12630233515266878208,  	 0.13400937880003666036
50000.00000000000000000000, 	 4400000, 	 0.550, 	 475, 	 0.350, 	 0.72168520910627265152, 	 0.14533578989179249397, 	 0.08740224564630964810,  	 0.09948158686158660446
50000.00000000000000000000, 	 4400000, 	 0.600, 	 400, 	 0.350, 	 0.47659052322085682096, 	 0.17518260588819498103, 	 0.13165500554302433933,  	 0.13685673164353609477
50000.00000000000000000000, 	 4400000, 	 0.600, 	 425, 	 0.350, 	 0.74540166423841591747, 	 0.13977512133817535100, 	 0.08604669783886587098,  	 0.09545954015491024680
50000.00000000000000000000, 	 4400000, 	 0.600, 	 450, 	 0.350, 	 0.89438756948057906992, 	 0.10476596115350716998, 	 0.05243158254916645972,  	 0.06156703318059437990
50000.00000000000000000000, 	 4400000, 	 0.600, 	 475, 	 0.350, 	 0.92910243333779429786, 	 0.07405274075955749213, 	 0.04435701345985441912,  	 0.05064021581861684329
50000.00000000000000000000, 	 4400000, 	 0.650, 	 400, 	 0.350, 	 0.90935406256627016042, 	 0.10117611887044625218, 	 0.04970671155249394707,  	 0.05722591666995643228
50000.00000000000000000000, 	 4400000, 	 0.650, 	 425, 	 0.350, 	 0.95250291705317291502, 	 0.06790762043635796552, 	 0.03216447799000086288,  	 0.04137336051126853931
50000.00000000000000000000, 	 4400000, 	 0.650, 	 450, 	 0.350, 	 0.85761851689456203296, 	 0.10653685281700586707, 	 0.06177927727593115342,  	 0.07136357047910549256
50000.00000000000000000000, 	 4400000, 	 0.650, 	 475, 	 0.350, 	 0.63138724125464507075, 	 0.14446622943709785947, 	 0.10627602709967284844,  	 0.11479584726617771129
50000.00000000000000000000, 	 4400000, 	 0.700, 	 400, 	 0.350, 	 0.85824525486675984354, 	 0.10065038232329147350, 	 0.06461093204836579340,  	 0.07063058351243185762
50000.00000000000000000000, 	 4400000, 	 0.700, 	 425, 	 0.350, 	 0.58612052681783111119, 	 0.14324160012894618377, 	 0.11752772327055646673,  	 0.12109082399910398031
50000.00000000000000000000, 	 4400000, 	 0.700, 	 450, 	 0.350, 	 0.15386771255541253911, 	 0.18500845247191777254, 	 0.17175639867548631035,  	 0.17340123602498350164
50000.00000000000000000000, 	 4400000, 	 0.700, 	 475, 	 0.350, 	 -0.43039510984207574040, 	 0.22598534731065283987, 	 0.22507289314763254118,  	 0.22563879973503814247
50000.00000000000000000000, 	 4400000, 	 0.750, 	 400, 	 0.350, 	 0.03859730185923782031, 	 0.18552063210183827868, 	 0.18487285345626544575,  	 0.18427503023236846413
50000.00000000000000000000, 	 4400000, 	 0.750, 	 425, 	 0.350, 	 -0.67741798714834478012, 	 0.23194459893483199142, 	 0.24589766987520148001,  	 0.24379448361125505285
50000.00000000000000000000, 	 4400000, 	 0.750, 	 450, 	 0.350, 	 -1.58097049332742756178, 	 0.27766028361991629270, 	 0.30583005336166158017,  	 0.30268811058030287153
50000.00000000000000000000, 	 4400000, 	 0.750, 	 475, 	 0.350, 	 -2.66217859771470610752, 	 0.32871420185102195877, 	 0.36471946668863086671,  	 0.36077233001297659420
50000.00000000000000000000, 	 4600000, 	 0.550, 	 400, 	 0.350, 	 -0.03168642081441541691, 	 0.21882406832558115584, 	 0.18959031812138682493,  	 0.19188702305321661545
50000.00000000000000000000, 	 4600000, 	 0.550, 	 425, 	 0.350, 	 0.35914087179195208765, 	 0.18542925441673033249, 	 0.14629695976202319874,  	 0.15114934717179870360
50000.00000000000000000000, 	 4600000, 	 0.550, 	 450, 	 0.350, 	 0.64041070310537939747, 	 0.15278689074560822259, 	 0.10365814844997879585,  	 0.11314260931771143170
50000.00000000000000000000, 	 4600000, 	 0.550, 	 475, 	 0.350, 	 0.81692298115209638354, 	 0.12252142475299877822, 	 0.06867039417898151976,  	 0.08070761983708586718
50000.00000000000000000000, 	 4600000, 	 0.600, 	 400, 	 0.350, 	 0.63054557528765675656, 	 0.15238448831890022417, 	 0.10917282044943406316,  	 0.11501338629484585130
50000.00000000000000000000, 	 4600000, 	 0.600, 	 425, 	 0.350, 	 0.84510440342805259739, 	 0.11576629956295837742, 	 0.06574127900009361924,  	 0.07451702476856168766
50000.00000000000000000000, 	 4600000, 	 0.600, 	 450, 	 0.350, 	 0.93398833811260195681, 	 0.08053094724635927182, 	 0.04184745204289540277,  	 0.04880493240116789977
50000.00000000000000000000, 	 4600000, 	 0.600, 	 475, 	 0.350, 	 0.90295497567878357792, 	 0.09159456102895226215, 	 0.04901498161311589746,  	 0.05923641440816269921
50000.00000000000000000000, 	 4600000, 	 0.650, 	 400, 	 0.350, 	 0.95417486188441302808, 	 0.07674280242046171985, 	 0.03284101850121039223,  	 0.04072076712476054017
50000.00000000000000000000, 	 4600000, 	 0.650, 	 425, 	 0.350, 	 0.92382124349947991604, 	 0.08528458081114270728, 	 0.04268423178996531148,  	 0.05217123239057271794
50000.00000000000000000000, 	 4600000, 	 0.650, 	 450, 	 0.350, 	 0.74856021917385495712, 	 0.12480083088476691400, 	 0.08560160953320852806,  	 0.09473772052199830318
50000.00000000000000000000, 	 4600000, 	 0.650, 	 475, 	 0.350, 	 0.43531414516222932676, 	 0.16360151922295290694, 	 0.13558665946788206469,  	 0.14202203012294509210
50000.00000000000000000000, 	 4600000, 	 0.700, 	 400, 	 0.350, 	 0.74483527008675276537, 	 0.11892147140414359441, 	 0.09039635055379020845,  	 0.09485173944686108027
50000.00000000000000000000, 	 4600000, 	 0.700, 	 425, 	 0.350, 	 0.37347356694264077781, 	 0.16251593452422027908, 	 0.14717427183380130118,  	 0.14904015476273577145
50000.00000000000000000000, 	 4600000, 	 0.700, 	 450, 	 0.350, 	 -0.16617202567698940996, 	 0.20528653570026542119, 	 0.20298523262629578068,  	 0.20359565989281822040
50000.00000000000000000000, 	 4600000, 	 0.700, 	 475, 	 0.350, 	 -0.86566747190388571020, 	 0.25198483839183422051, 	 0.25786878094560861108,  	 0.25770037878274570931
50000.00000000000000000000, 	 4600000, 	 0.750, 	 400, 	 0.350, 	 -0.30568205218920274646, 	 0.20616791374793430602, 	 0.21655566845104104456,  	 0.21486430239297982236
50000.00000000000000000000, 	 4600000, 	 0.750, 	 425, 	 0.350, 	 -1.15601593187010820429, 	 0.25384076820870488111, 	 0.27936593164338352491,  	 0.27646796979411147888
50000.00000000000000000000, 	 4600000, 	 0.750, 	 450, 	 0.350, 	 -2.20368128410638419723, 	 0.30669468006103678404, 	 0.34106582727234396879,  	 0.33728063397883639718
50000.00000000000000000000, 	 4600000, 	 0.750, 	 475, 	 0.350, 	 -3.43836662117070446243, 	 0.36445280847738614760, 	 0.40170351668451420579,  	 0.39720122831884246972
50000.00000000000000000000, 	 4800000, 	 0.550, 	 400, 	 0.350, 	 0.16806839102317083778, 	 0.19854979987381871087, 	 0.16971897342029171329,  	 0.17230838738820383749
50000.00000000000000000000, 	 4800000, 	 0.550, 	 425, 	 0.350, 	 0.51730995908924826132, 	 0.16405824603877919299, 	 0.12526524657379603522,  	 0.13117267667462212399
50000.00000000000000000000, 	 4800000, 	 0.550, 	 450, 	 0.350, 	 0.75193519567244915258, 	 0.13203606635869036268, 	 0.08284917311256066730,  	 0.09398453840571271978
50000.00000000000000000000, 	 4800000, 	 0.550, 	 475, 	 0.350, 	 0.87689589138179346861, 	 0.10078447778175041172, 	 0.05595124099806344370,  	 0.06627929306348960548
50000.00000000000000000000, 	 4800000, 	 0.600, 	 400, 	 0.350, 	 0.75193395718427780139, 	 0.13069231746247664261, 	 0.08715426761724033577,  	 0.09429261635225451299
50000.00000000000000000000, 	 4800000, 	 0.600, 	 425, 	 0.350, 	 0.91000265902174903854, 	 0.09299270553689266416, 	 0.04827695156707546842,  	 0.05689432340683405614
50000.00000000000000000000, 	 4800000, 	 0.600, 	 450, 	 0.350, 	 0.93647478410407758442, 	 0.07183960824376399434, 	 0.04244709975038389593,  	 0.04794919833917470758
50000.00000000000000000000, 	 4800000, 	 0.600, 	 475, 	 0.350, 	 0.83729347812464482992, 	 0.10869531104531021670, 	 0.06070761150742412515,  	 0.07657976374265590414
50000.00000000000000000000, 	 4800000, 	 0.650, 	 400, 	 0.350, 	 0.96242880519727780353, 	 0.06117322680659008360, 	 0.02931662245719966406,  	 0.03669393787899383891
50000.00000000000000000000, 	 4800000, 	 0.650, 	 425, 	 0.350, 	 0.85597429552382520157, 	 0.10230475147517119339, 	 0.06238170408077619439,  	 0.07161706955935974450
50000.00000000000000000000, 	 4800000, 	 0.650, 	 450, 	 0.350, 	 0.59763280979044941521, 	 0.14267572258534474972, 	 0.11293534838755839300,  	 0.11979531072934934688
50000.00000000000000000000, 	 4800000, 	 0.650, 	 475, 	 0.350, 	 0.19461762737364496356, 	 0.18419447380847522866, 	 0.16430817534081179621,  	 0.16956917156451420392
50000.00000000000000000000, 	 4800000, 	 0.700, 	 400, 	 0.350, 	 0.58992389151965829441, 	 0.13687183905005209650, 	 0.11786275507731078238,  	 0.12035094124743253574
50000.00000000000000000000, 	 4800000, 	 0.700, 	 425, 	 0.350, 	 0.11627798708493042312, 	 0.18143454375641718257, 	 0.17621139117718118139,  	 0.17706182777256060379
50000.00000000000000000000, 	 4800000, 	 0.700, 	 450, 	 0.350, 	 -0.53392017148606885080, 	 0.22952666725106279921, 	 0.23357790133471145744,  	 0.23352766764272064881
50000.00000000000000000000, 	 4800000, 	 0.700, 	 475, 	 0.350, 	 -1.35185403036995577253, 	 0.28453113164573623495, 	 0.28999941040789944946,  	 0.28934672220571094892
50000.00000000000000000000, 	 4800000, 	 0.750, 	 400, 	 0.350, 	 -0.69778281296593847038, 	 0.22646815476956075330, 	 0.24757872663524782553,  	 0.24511390614062900095
50000.00000000000000000000, 	 4800000, 	 0.750, 	 425, 	 0.350, 	 -1.68609783559450709944, 	 0.27990896262638170766, 	 0.31214507032809007958,  	 0.30865722111669841032
50000.00000000000000000000, 	 4800000, 	 0.750, 	 450, 	 0.350, 	 -2.88159109741580188313, 	 0.34053828519120304952, 	 0.37557956985618967671,  	 0.37130253724148859495
50000.00000000000000000000, 	 4800000, 	 0.750, 	 475, 	 0.350, 	 -4.27349094204580914891, 	 0.40007016157148939106, 	 0.43793009890103373749,  	 0.43299472423490636963
50000.00000000000000000000, 	 5000000, 	 0.550, 	 400, 	 0.350, 	 0.34050545125355236031, 	 0.17924392187205887006, 	 0.15024087731479945917,  	 0.15341950378614024886
50000.00000000000000000000, 	 5000000, 	 0.550, 	 425, 	 0.350, 	 0.64628521078312173298, 	 0.14484046940701467143, 	 0.10464490316412382309,  	 0.11229791489571375185
50000.00000000000000000000, 	 5000000, 	 0.550, 	 450, 	 0.350, 	 0.83232020455468713749, 	 0.11231090425715065106, 	 0.06521855180788416195,  	 0.07732061174317443608
50000.00000000000000000000, 	 5000000, 	 0.550, 	 475, 	 0.350, 	 0.90373557099979917595, 	 0.08012072319155132127, 	 0.05376531395474186403,  	 0.05879289834655841707
50000.00000000000000000000, 	 5000000, 	 0.600, 	 400, 	 0.350, 	 0.84288253022052028740, 	 0.11005457365569655537, 	 0.06709574652706816467,  	 0.07510922600387105741
50000.00000000000000000000, 	 5000000, 	 0.600, 	 425, 	 0.350, 	 0.94229987021250083412, 	 0.07279901468031557688, 	 0.03978355947917505686,  	 0.04566506514954719181
50000.00000000000000000000, 	 5000000, 	 0.600, 	 450, 	 0.350, 	 0.90414023440329560621, 	 0.08769952675487369120, 	 0.04811733985797794766,  	 0.05881794177799758855
50000.00000000000000000000, 	 5000000, 	 0.600, 	 475, 	 0.350, 	 0.73458152342895344233, 	 0.12608270418615691311, 	 0.08145347755229286058,  	 0.09768652930249864530
50000.00000000000000000000, 	 5000000, 	 0.650, 	 400, 	 0.350, 	 0.93648033645471095987, 	 0.07691847928182468652, 	 0.03882995152738660805,  	 0.04748612257388756808
50000.00000000000000000000, 	 5000000, 	 0.650, 	 425, 	 0.350, 	 0.75143168109370239716, 	 0.11888688052947900264, 	 0.08615721176331542219,  	 0.09405015342243683296
50000.00000000000000000000, 	 5000000, 	 0.650, 	 450, 	 0.350, 	 0.40750174881880640854, 	 0.16139278121811706512, 	 0.13972897420968635740,  	 0.14534627087529392031
50000.00000000000000000000, 	 5000000, 	 0.650, 	 475, 	 0.350, 	 -0.08785691869840928092, 	 0.21398540484194605860, 	 0.19246257917621123479,  	 0.19704894411204657012
50000.00000000000000000000, 	 5000000, 	 0.700, 	 400, 	 0.350, 	 0.39616220134476731740, 	 0.15440740640433769926, 	 0.14478311193675694191,  	 0.14614310907433147868
50000.00000000000000000000, 	 5000000, 	 0.700, 	 425, 	 0.350, 	 -0.18265874350525046488, 	 0.20261495164538861902, 	 0.20467349910958726467,  	 0.20488642968325154747
50000.00000000000000000000, 	 5000000, 	 0.700, 	 450, 	 0.350, 	 -0.94629759451071304710, 	 0.26023422949814978278, 	 0.26356241621223502891,  	 0.26308273618032429475
50000.00000000000000000000, 	 5000000, 	 0.700, 	 475, 	 0.350, 	 -1.88569402733822411022, 	 0.31690255371749170843, 	 0.32149350704224188835,  	 0.32052417666909732707
50000.00000000000000000000, 	 5000000, 	 0.750, 	 400, 	 0.350, 	 -1.13467099644658064861, 	 0.24830100284676029365, 	 0.27798053167094860516,  	 0.27494405362138368831
50000.00000000000000000000, 	 5000000, 	 0.750, 	 425, 	 0.350, 	 -2.26433629040968487089, 	 0.31183706544949596484, 	 0.34426824704609426675,  	 0.34033020899104310386
50000.00000000000000000000, 	 5000000, 	 0.750, 	 450, 	 0.350, 	 -3.61113509094292783885, 	 0.37425782507044075276, 	 0.40940474038717833416,  	 0.40474571791206603866
50000.00000000000000000000, 	 5000000, 	 0.750, 	 475, 	 0.350, 	 -5.16391795226829231069, 	 0.43563031370865368253, 	 0.47343989418262449886,  	 0.46816548511964628521
50000.00000000000000000000, 	 4800000, 	 0.650, 	 400, 	 0.350, 	 0.96242880519727780353, 	 0.06117322680659008360, 	 0.02931662245719966406,  	 0.03669393787899383891
50000.00000000000000000000, 	 4600000, 	 0.650, 	 400, 	 0.350, 	 0.95417486188441302808, 	 0.07674280242046171985, 	 0.03284101850121039223,  	 0.04072076712476054017
50000.00000000000000000000, 	 4600000, 	 0.650, 	 410, 	 0.350, 	 0.95988740743975919933, 	 0.06121933078428377223, 	 0.02972737336670976116,  	 0.03800267457173579083
50000.00000000000000000000, 	 4800000, 	 0.650, 	 400, 	 0.350, 	 0.96242880519727780353, 	 0.06117322680659008360, 	 0.02931662245719966406,  	 0.03669393787899383891
50000.00000000000000000000, 	 4600000, 	 0.650, 	 400, 	 0.350, 	 0.95417486188441302808, 	 0.07674280242046171985, 	 0.03284101850121039223,  	 0.04072076712476054017
50000.00000000000000000000, 	 4600000, 	 0.650, 	 400, 	 0.350, 	 0.95417486188441302808, 	 0.07674280242046171985, 	 0.03284101850121039223,  	 0.04072076712476054017
50000.00000000000000000000, 	 4500000, 	 0.650, 	 400, 	 0.350, 	 0.29981806616547046485, 	 0.20257258982887155208, 	 0.14939748869271038401,  	 0.15731612192453472976
