x [cm], 	 0.40000000000000002220, 	 2.00000000000000000000, 	 3.60000000000000008882
0.00000000000000000000, 	 0.00000000000000000000, 	 0.00000000000000000000, 	 0.00000000000000000000
5.70020000000000059970, 	 1192642.62356414948590099812, 	 1193018.69954093080013990402, 	 1192418.10815907455980777740
5.70130000000000070060, 	 1193111.84467762452550232410, 	 1192795.27053429628722369671, 	 1192085.96627849689684808254
5.70239999999999991331, 	 1193149.20957834133878350258, 	 1192709.87489176937378942966, 	 1191993.85018019122071564198
5.70350000000000001421, 	 1192998.27364776981994509697, 	 1192640.08540882472880184650, 	 1191984.00079159089364111423
5.70460000000000011511, 	 1192805.06116697494871914387, 	 1192576.25393402064219117165, 	 1191965.98610786302015185356
5.70570000000000021600, 	 1192651.67337659955956041813, 	 1192483.54960401169955730438, 	 1191915.07182325632311403751
5.70680000000000031690, 	 1192558.68855215865187346935, 	 1192383.24957625567913055420, 	 1191846.21720593119971454144
5.70790000000000041780, 	 1192511.21201307489536702633, 	 1192294.50537202227860689163, 	 1191776.30726009560748934746
5.70900000000000051870, 	 1192488.95753858657553792000, 	 1192224.41395114897750318050, 	 1191729.04948812932707369328
5.71010000000000061959, 	 1192476.95458697970025241375, 	 1192172.94510078895837068558, 	 1191723.20767536805942654610
5.71119999999999983231, 	 1192477.72962891845963895321, 	 1192137.51975759025663137436, 	 1191762.11099318251945078373
5.71229999999999993321, 	 1192515.46821668907068669796, 	 1192129.59349236357957124710, 	 1191827.03625162970274686813
5.71340000000000003411, 	 1192600.38226048951037228107, 	 1192142.59167162538506090641, 	 1191902.02710310439579188824
5.71450000000000013500, 	 1192716.16997964098118245602, 	 1192195.03961081453599035740, 	 1191994.85165231581777334213
5.71560000000000023590, 	 1192845.48163052601739764214, 	 1192273.26452898839488625526, 	 1192102.69160629995167255402
5.71670000000000033680, 	 1192976.84295787848532199860, 	 1192383.65903157880529761314, 	 1192232.31781202508136630058
5.71780000000000043769, 	 1193126.95334445312619209290, 	 1192508.49514437350444495678, 	 1192375.14514466095715761185
5.71890000000000053859, 	 1193292.67566347774118185043, 	 1192647.10717857792042195797, 	 1192527.83721202728338539600
5.72000000000000063949, 	 1193467.32245693611912429333, 	 1192800.88492379989475011826, 	 1192692.93655934836715459824
5.72109999999999985221, 	 1193646.68299413193017244339, 	 1192964.63970673363655805588, 	 1192871.38815689226612448692
5.72219999999999995310, 	 1193829.46098727011121809483, 	 1193136.71392937400378286839, 	 1193060.45383086660876870155
5.72330000000000005400, 	 1194018.10911389812827110291, 	 1193317.30533351982012391090, 	 1193257.82285961345769464970
5.72440000000000015490, 	 1194215.05359408981166779995, 	 1193506.11943888035602867603, 	 1193462.82616802398115396500
5.72550000000000025580, 	 1194421.52301732450723648071, 	 1193703.25773810199461877346, 	 1193675.61294387513771653175
5.72660000000000035669, 	 1194637.63967731944285333157, 	 1193908.93112163292244076729, 	 1193896.46004694583825767040
5.72770000000000045759, 	 1194862.87160574132576584816, 	 1194123.21325100469402968884, 	 1194125.37406120891682803631
5.72880000000000055849, 	 1195096.43146068556234240532, 	 1194345.96684714988805353642, 	 1194362.33200507960282266140
5.72990000000000065938, 	 1195337.60849374393001198769, 	 1194576.91087159863673150539, 	 1194606.97506151418201625347
5.73099999999999987210, 	 1195585.80924144457094371319, 	 1194815.62130597443319857121, 	 1194858.67216197517700493336
5.73209999999999997300, 	 1195840.78753005550242960453, 	 1195062.43224097089841961861, 	 1195114.30632104654796421528
5.73320000000000007390, 	 1196102.18811775790527462959, 	 1195316.00013140472583472729, 	 1195377.37362593947909772396
5.73430000000000017479, 	 1196369.07457360788248479366, 	 1195575.78502609184943139553, 	 1195646.19051614869385957718
5.73540000000000027569, 	 1196640.72220022208057343960, 	 1195841.30122665571980178356, 	 1195920.23250996274873614311
5.73650000000000037659, 	 1196916.64837455516681075096, 	 1196112.07409835630096495152, 	 1196199.18518628482706844807
5.73760000000000047748, 	 1197196.60488960496149957180, 	 1196387.69075348204933106899, 	 1196482.73602993809618055820
5.73870000000000057838, 	 1197480.50282117049209773540, 	 1196667.86732863541692495346, 	 1196770.85119082406163215637
5.73980000000000067928, 	 1197768.42412371980026364326, 	 1196952.46606108685955405235, 	 1197063.50150658073835074902
5.74089999999999989200, 	 1198060.55471278121694922447, 	 1197241.45732814213261008263, 	 1197360.74278080603107810020
5.74199999999999999289, 	 1198357.13278931193053722382, 	 1197534.91274988465011119843, 	 1197662.79370537190698087215
5.74310000000000009379, 	 1198658.46282206033356487751, 	 1197833.01098673557862639427, 	 1197969.99852603371255099773
5.74420000000000019469, 	 1198964.94609598047100007534, 	 1198136.03396372660063207150, 	 1198282.78919694386422634125
5.74530000000000029559, 	 1199277.09227424999698996544, 	 1198444.36137411976233124733, 	 1198601.67296366975642740726
5.74640000000000039648, 	 1199595.51142649562098085880, 	 1198758.46570388367399573326, 	 1198927.24064784497022628784
5.74750000000000049738, 	 1199920.90181464911438524723, 	 1199078.91062963171862065792, 	 1199260.17635885602794587612
5.74860000000000059828, 	 1200254.04376709647476673126, 	 1199406.34914869396016001701, 	 1199601.24689634446986019611
5.74970000000000069917, 	 1200595.79406256158836185932, 	 1199741.51751483860425651073, 	 1199951.28457718109712004662
5.75079999999999991189, 	 1200947.07392695709131658077, 	 1200085.22428728803060948849, 	 1200311.16317744413390755653
5.75190000000000001279, 	 1201308.84697706345468759537, 	 1200438.33423267886973917484, 	 1200681.78192907525226473808
5.75300000000000011369, 	 1201682.09256749018095433712, 	 1200801.75049107614904642105, 	 1201064.05052845343016088009
5.75410000000000021458, 	 1202067.78026106744073331356, 	 1201176.39476980920881032944, 	 1201458.86683765402995049953
5.75520000000000031548, 	 1202466.84569568233564496040, 	 1201563.18588388734497129917, 	 1201867.09804820385761559010
5.75630000000000041638, 	 1202880.16954780369997024536, 	 1201963.01933324174024164677, 	 1202289.56662746844813227654
5.75740000000000051728, 	 1203308.56231178971938788891, 	 1202376.75004606414586305618, 	 1202727.03944882657378911972
5.75850000000000061817, 	 1203752.75476658437401056290, 	 1202805.17735054367221891880, 	 1203180.20847108541056513786
5.75960000000000071907, 	 1204213.38770948257297277451, 	 1203249.02911142562516033649, 	 1203649.71281509636901319027
5.76069999999999993179, 	 1204691.03615103475749492645, 	 1203708.99443684751167893410, 	 1204136.22851871000602841377
5.76180000000000003268, 	 1205186.22024451848119497299, 	 1204185.64966070791706442833, 	 1204639.82882626331411302090
5.76290000000000013358, 	 1205699.20556057966314256191, 	 1204679.39895439962856471539, 	 1205160.86411777907051146030
5.76400000000000023448, 	 1206230.10136749106459319592, 	 1205190.57668287237174808979, 	 1205699.68972100410610437393
5.76510000000000033538, 	 1206778.99160800012759864330, 	 1205719.44201323413290083408, 	 1206256.42170279566198587418
5.76620000000000043627, 	 1207345.91799824475310742855, 	 1206266.14707641978748142719, 	 1206831.01829233276657760143
5.76730000000000053717, 	 1207930.82351349620148539543, 	 1206830.73881390155293047428, 	 1207423.39766828133724629879
5.76840000000000063807, 	 1208533.55254343803972005844, 	 1207413.18696735170669853687, 	 1208033.49175367667339742184
5.76949999999999985079, 	 1209153.90306233637966215611, 	 1208013.40754858427681028843, 	 1208661.16101376968435943127
5.77059999999999995168, 	 1209791.64285701955668628216, 	 1208631.24933450133539736271, 	 1209306.08416765695437788963
5.77170000000000005258, 	 1210446.45421755127608776093, 	 1209266.46881206938996911049, 	 1209967.86547996848821640015
5.77280000000000015348, 	 1211117.90466030151583254337, 	 1209918.73793787532486021519, 	 1210646.06872720574028789997
5.77390000000000025437, 	 1211805.46350045222789049149, 	 1210587.65114921890199184418, 	 1211340.21563697769306600094
5.77500000000000035527, 	 1212508.53853830927982926369, 	 1211272.73946341988630592823, 	 1212049.81204832857474684715
5.77610000000000045617, 	 1213226.52219294430688023567, 	 1211973.49107736442238092422, 	 1212774.32493689958937466145
5.77720000000000055707, 	 1213958.81219279742799699306, 	 1212689.35756958601996302605, 	 1213513.14237964060157537460
5.77830000000000065796, 	 1214704.79058788367547094822, 	 1213419.75023622089065611362, 	 1214265.60139971342869102955
5.77939999999999987068, 	 1215463.79887085198424756527, 	 1214164.04343699105083942413, 	 1215031.03245672583580017090
5.78049999999999997158, 	 1216235.14032047358341515064, 	 1214921.58459019917063415051, 	 1215808.77076661353930830956
5.78160000000000007248, 	 1217018.10173674346879124641, 	 1215691.70326078776270151138, 	 1216598.14433380565606057644
5.78270000000000017337, 	 1217811.97204887447878718376, 	 1216473.71660035662353038788, 	 1217398.46497836546041071415
5.78380000000000027427, 	 1218616.04742511850781738758, 	 1217266.93265194632112979889, 	 1218209.03079932834953069687
5.78490000000000037517, 	 1219429.62704101414419710636, 	 1218070.65276587870903313160, 	 1219029.13129759998992085457
5.78600000000000047606, 	 1220252.00676174042746424675, 	 1218884.17291195248253643513, 	 1219858.05384151404723525047
5.78710000000000057696, 	 1221082.58638133876956999302, 	 1219706.22517310664989054203, 	 1220695.53583417600020766258
5.78820000000000067786, 	 1221921.15445352974347770214, 	 1220536.14756188960745930672, 	 1221540.37197054899297654629
5.78929999999999989058, 	 1222766.26119813788682222366, 	 1221374.11748879682272672653, 	 1222391.75470260391011834145
5.79039999999999999147, 	 1223617.05309045151807367802, 	 1222219.14895571302622556686, 	 1223249.26649313280358910561
5.79150000000000009237, 	 1224472.94726763293147087097, 	 1223070.46111098700203001499, 	 1224112.12797165755182504654
5.79260000000000019327, 	 1225333.39369139098562300205, 	 1223927.33993774326518177986, 	 1224979.58748727105557918549
5.79370000000000029416, 	 1226197.78991634631529450417, 	 1224789.10897025535814464092, 	 1225850.98340724175795912743
5.79480000000000039506, 	 1227065.49446471035480499268, 	 1225655.11445791972801089287, 	 1226725.69900469714775681496
5.79590000000000049596, 	 1227935.86412601755000650883, 	 1226524.71656868560239672661, 	 1227603.13660730165429413319
5.79700000000000059686, 	 1228808.28113828809000551701, 	 1227397.29046544595621526241, 	 1228482.71850959281437098980
5.79810000000000069775, 	 1229682.16744719119742512703, 	 1228272.23280063970014452934, 	 1229363.88883581268601119518
5.79919999999999991047, 	 1230556.98742815805599093437, 	 1229148.96718383743427693844, 	 1230246.11350192502140998840
5.80030000000000001137, 	 1231432.24249266111291944981, 	 1230026.94701797468587756157, 	 1231128.88831282267346978188
5.80140000000000011227, 	 1232307.46652473066933453083, 	 1230905.65794337145052850246, 	 1232011.74924852070398628712
5.80250000000000021316, 	 1233182.22774057998321950436, 	 1231784.62034472287632524967, 	 1232894.27236585435457527637
5.80360000000000031406, 	 1234056.13262679148465394974, 	 1232663.39060899172909557819, 	 1233776.06772841140627861023
5.80470000000000041496, 	 1234928.82642127689905464649, 	 1233541.56131789204664528370, 	 1234656.78005084721371531487
5.80580000000000051585, 	 1235799.99198162998072803020, 	 1234418.76202144590206444263, 	 1235536.09464520821347832680
5.80690000000000061675, 	 1236669.35082907020114362240, 	 1235294.66055920231156051159, 	 1236413.73843677504919469357
5.80800000000000071765, 	 1237536.66649455064907670021, 	 1236168.96576586063019931316, 	 1237289.49025291623547673225
5.80909999999999993037, 	 1238401.75031353300437331200, 	 1237041.42934879171662032604, 	 1238163.16077491198666393757
5.81020000000000003126, 	 1239264.45849526324309408665, 	 1237911.84490584605373442173, 	 1239034.60140578425489366055
5.81130000000000013216, 	 1240124.68831791123375296593, 	 1238780.04799914779141545296, 	 1239903.70397713221609592438
5.81240000000000023306, 	 1240982.37549959518946707249, 	 1239645.91474631498567759991, 	 1240770.39667264465242624283
5.81350000000000033396, 	 1241837.49094219575636088848, 	 1240509.35946868616156280041, 	 1241634.64166236552409827709
5.81460000000000043485, 	 1242690.03772996738553047180, 	 1241370.33264669543132185936, 	 1242496.43673798930831253529
5.81570000000000053575, 	 1243540.04883620841428637505, 	 1242228.81759741529822349548, 	 1243355.79955929704010486603
5.81680000000000063665, 	 1244387.58133573690429329872, 	 1243084.82704727305099368095, 	 1244212.78050815570168197155
5.81789999999999984936, 	 1245232.71520638396032154560, 	 1243938.40142725082114338875, 	 1245067.45466124871745705605
5.81899999999999995026, 	 1246075.55260996869765222073, 	 1244789.60632055252790451050, 	 1245919.91760147362947463989
5.82010000000000005116, 	 1246916.21556590264663100243, 	 1245638.52983520925045013428, 	 1246770.28230777801945805550
5.82120000000000015206, 	 1247754.84244505385868251324, 	 1246485.27979043312370777130, 	 1247618.67648427048698067665
5.82230000000000025295, 	 1248591.58416072279214859009, 	 1247329.98078073747456073761, 	 1248465.24089934444054961205
5.82340000000000035385, 	 1249426.60115156765095889568, 	 1248172.77147853141650557518, 	 1249310.12768395873717963696
5.82450000000000045475, 	 1250260.06137578538618981838, 	 1249013.80208642990328371525, 	 1250153.49755471036769449711
5.82560000000000055564, 	 1251092.13860912830568850040, 	 1249853.23195882560685276985, 	 1250995.51539438473992049694
5.82670000000000065654, 	 1251923.00948109477758407593, 	 1250691.22644524299539625645, 	 1251836.34858897654339671135
5.82779999999999986926, 	 1252752.85102642071433365345, 	 1251527.95540532376617193222, 	 1252676.16926261968910694122
5.82889999999999997016, 	 1253581.84014402655884623528, 	 1252363.59095032908953726292, 	 1253515.14557684352621436119
5.83000000000000007105, 	 1254410.15076205809600651264, 	 1253198.30501820985227823257, 	 1254353.44404819631017744541
5.83110000000000017195, 	 1255237.95210832380689680576, 	 1254032.26798416161909699440, 	 1255191.22951387357898056507
5.83220000000000027285, 	 1256065.40857570571824908257, 	 1254865.64753073384054005146, 	 1256028.66195616126060485840
5.83330000000000037375, 	 1256892.67892182688228785992, 	 1255698.60706054512411355972, 	 1256865.89645325159654021263
5.83440000000000047464, 	 1257719.91528959688730537891, 	 1256531.30466462229378521442, 	 1257703.07773543288931250572
5.83550000000000057554, 	 1258547.26276413700543344021, 	 1257363.89380300347693264484, 	 1258540.36313752620480954647
5.83660000000000067644, 	 1259374.86631409591063857079, 	 1258196.52574909199029207230, 	 1259377.90068047004751861095
5.83769999999999988916, 	 1260202.87056015874259173870, 	 1259029.34692105627618730068, 	 1260215.81465673516504466534
5.83879999999999999005, 	 1261031.40967955859377980232, 	 1259862.49657429382205009460, 	 1261054.23026483203284442425
5.83990000000000009095, 	 1261860.60302632232196629047, 	 1260696.10242960019968450069, 	 1261893.22936617769300937653
5.84100000000000019185, 	 1262690.54209513380192220211, 	 1261530.27615935518406331539, 	 1262732.92502502095885574818
5.84210000000000029274, 	 1263521.31044657574966549873, 	 1262365.12644139188341796398, 	 1263573.45586352050304412842
5.84320000000000039364, 	 1264353.00814064941368997097, 	 1263200.75915679545141756535, 	 1264414.89544963533990085125
5.84430000000000049454, 	 1265185.73033944796770811081, 	 1264037.26790337008424103260, 	 1265257.30372529732994735241
5.84540000000000059543, 	 1266019.54926508455537259579, 	 1264874.73449725192040205002, 	 1266100.73859964334405958652
5.84650000000000069633, 	 1266854.51441993983462452888, 	 1265713.22835184726864099503, 	 1266945.25493670813739299774
5.84759999999999990905, 	 1267690.66103920829482376575, 	 1266552.80692192632704973221, 	 1267790.90131858759559690952
5.84870000000000000995, 	 1268528.01777161471545696259, 	 1267393.51678504189476370811, 	 1268637.70977480965666472912
5.84980000000000011084, 	 1269366.60639535938389599323, 	 1268235.39285823144018650055, 	 1269485.69661073875613510609
5.85090000000000021174, 	 1270206.43808226822875440121, 	 1269078.45860920567065477371, 	 1270334.84602048643864691257
5.85200000000000031264, 	 1271047.49878537724725902081, 	 1269922.71519041201099753380, 	 1271185.11308675818145275116
5.85310000000000041354, 	 1271889.73961965483613312244, 	 1270768.14488335489295423031, 	 1272036.46450582961551845074
5.85420000000000051443, 	 1272733.09412512485869228840, 	 1271614.71363869984634220600, 	 1272888.85920389881357550621
5.85530000000000061533, 	 1273577.49038173095323145390, 	 1272462.37387933069840073586, 	 1273742.23764832876622676849
