t	Pre-Clamp(Right-Femoral)	Post-Clamp	Pre-Clamp(Right-Popliteal)	Post-Clamp
8.32	151.06	134.31	78.30	114.60
8.33	150.94	133.62	77.76	113.80
8.34	150.36	132.78	77.32	113.06
8.35	149.29	131.97	76.82	112.36
8.36	148.02	131.23	76.40	111.51
8.37	146.50	130.67	75.96	110.81
8.38	144.94	130.43	75.49	110.05
8.39	143.41	131.40	75.06	109.38
8.40	141.87	134.18	74.50	108.94
8.41	140.40	139.63	73.94	108.91
8.42	138.78	147.95	73.49	109.71
8.43	137.00	158.60	72.93	111.94
8.44	134.80	170.76	72.47	116.03
8.45	132.08	183.13	72.12	122.22
8.46	128.86	194.57	72.28	130.34
8.47	125.12	204.25	73.23	139.92
8.48	121.10	211.96	75.47	150.05
8.49	117.22	217.44	79.04	160.10
8.50	113.92	221.16	84.01	169.44
8.51	111.23	223.52	89.94	177.57
8.52	109.42	224.93	96.28	183.91
8.53	108.19	225.87	102.44	188.74
8.54	107.27	226.53	108.00	191.88
8.55	106.56	227.12	112.51	193.62
8.56	105.94	227.68	115.87	194.16
8.57	105.17	228.28	118.23	193.96
8.58	104.37	228.84	119.78	193.25
8.59	103.62	229.50	120.74	192.45
8.60	102.80	229.99	121.30	191.62
8.61	102.14	230.36	121.53	190.96
8.62	101.54	230.40	121.53	190.49
8.63	101.00	230.13	121.25	190.24
8.64	100.42	229.42	120.62	190.05
8.65	99.73	228.13	119.67	189.81
8.66	99.05	226.26	118.49	189.36
8.67	98.35	223.87	116.94	188.64
8.68	97.55	220.83	115.32	187.30
8.69	96.81	217.28	113.51	185.49
8.70	96.02	213.08	111.65	182.50
8.71	95.25	208.32	109.66	178.73
8.72	94.56	202.78	107.65	173.77
8.73	93.96	196.53	105.30	167.81
8.74	93.32	189.81	102.70	161.13
8.75	92.73	183.05	99.92	154.28
8.76	92.12	176.76	97.08	147.99
8.77	91.54	171.50	94.33	142.73
8.78	90.85	167.40	91.90	138.61
8.79	90.21	164.55	89.92	135.88
8.80	89.67	162.59	88.43	134.07
8.81	89.01	161.17	87.33	133.13
8.82	88.48	160.03	86.61	132.56
8.83	88.25	158.91	86.09	132.22
8.84	88.51	157.60	85.64	131.85
8.85	89.98	156.16	85.16	131.51
8.86	93.01	154.58	84.64	131.01
8.87	97.90	152.96	84.18	130.33
8.88	104.34	151.26	83.64	129.60
8.89	111.97	149.55	82.99	128.78
8.90	119.81	147.88	82.48	127.72
8.91	127.25	146.27	81.93	126.59
8.92	133.83	144.72	81.38	125.47
8.93	139.31	143.35	80.97	124.22
8.94	143.69	142.09	80.59	122.82
8.95	147.18	140.84	80.13	121.58
8.96	149.94	139.74	79.84	120.25
8.97	152.02	138.78	79.33	119.08
8.98	153.48	137.84	78.94	117.90
8.99	154.37	136.97	78.49	116.80
9.00	154.64	136.12	78.02	115.80
9.01	154.35	135.33	77.50	114.97
9.02	153.56	134.54	76.99	114.16
9.03	152.38	133.68	76.48	113.41
9.04	151.07	132.81	75.99	112.65
9.05	149.57	131.95	75.54	111.99
9.06	148.02	131.09	75.13	111.21
9.07	146.56	130.63	74.71	110.53
9.08	145.15	130.89	74.27	109.75
9.09	143.67	132.65	73.77	109.11
9.10	141.97	136.74	73.41	108.67
9.11	140.10	143.62	72.85	108.78
9.12	137.87	153.15	72.34	109.77
9.13	135.09	164.66	71.80	112.39
9.14	131.63	176.82	71.30	116.99
9.15	127.71	188.62	70.86	123.63
9.16	123.45	199.14	70.62	132.10
9.17	119.32	207.84	70.90	141.82
9.18	115.71	214.39	72.07	152.02
9.19	112.85	219.22	74.39	162.06
9.20	110.67	222.36	78.24	171.06
9.21	109.32	224.46	83.28	178.79
9.22	108.34	225.85	89.20	184.90
9.23	107.59	226.69	95.48	189.42
9.24	106.93	227.38	101.70	192.34
9.25	106.16	228.04	107.01	194.05
9.26	105.38	228.68	111.40	194.55
9.27	104.57	229.40	114.70	194.43
9.28	103.83	230.05	117.00	193.75
9.29	103.10	230.49	118.43	193.06
9.30	102.37	230.78	119.34	192.24
9.31	101.76	230.89	119.88	191.70
9.32	101.11	230.64	120.10	191.31
9.33	100.38	230.01	120.02	191.11
9.34	99.70	229.06	119.60	190.92
9.35	99.00	227.69	119.04	190.75
9.36	98.15	225.68	118.11	190.47
9.37	97.44	223.15	116.92	189.71
9.38	96.64	219.92	115.51	188.44
9.39	95.90	216.12	113.90	186.62
9.40	95.14	211.59	112.25	183.86
9.41	94.45	206.39	110.48	180.21
9.42	93.86	200.49	108.56	175.47
9.43	93.21	193.95	106.48	169.66
9.44	92.48	186.98	104.21	163.10
9.45	91.77	180.07	101.68	156.23
9.46	91.10	173.93	99.08	149.88
9.47	90.42	168.84	96.29	144.40
9.48	89.80	164.98	93.71	140.15
9.49	89.13	162.42	91.35	137.19
9.50	88.50	160.69	89.49	135.23
9.51	88.23	159.51	88.06	134.11
9.52	88.39	158.53	86.90	133.50
9.53	89.63	157.58	86.26	133.19
9.54	92.48	156.41	85.74	132.84
9.55	97.23	155.16	85.27	132.51
9.56	103.62	153.68	84.84	132.08
9.57	111.09	152.22	84.37	131.46
9.58	118.88	150.58	83.85	130.66
9.59	126.29	148.99	83.23	129.82
9.60	132.88	147.34	82.65	128.74
9.61	138.38	145.75	82.10	127.53
9.62	142.75	144.11	81.62	126.28
9.63	146.23	142.66	81.10	125.01
9.64	148.99	141.33	80.69	123.62
9.65	151.16	140.15	80.24	122.34
9.66	152.57	139.11	79.78	120.95
9.67	153.44	138.24	79.43	119.73
9.68	153.73	137.34	78.97	118.52
9.69	153.42	136.52	78.50	117.46
9.70	152.58	135.69	78.05	116.58
9.71	151.40	134.88	77.50	115.71
9.72	149.96	133.87	77.06	114.98
9.73	148.40	132.94	76.58	114.25
9.74	146.79	131.99	76.10	113.57
9.75	145.28	131.07	75.60	112.86
9.76	143.65	130.38	75.28	112.16
9.77	142.10	130.13	74.82	111.43
9.78	140.37	130.81	74.47	110.72
9.79	138.43	133.62	74.05	110.11
9.80	135.96	138.97	73.59	109.80
9.81	133.03	147.21	73.15	110.08
9.82	129.32	158.02	72.62	111.40
9.83	125.25	170.40	72.08	114.56
9.84	120.97	182.85	71.52	119.59
9.85	117.00	194.47	71.00	126.85
9.86	113.69	204.43	70.59	135.82
9.87	111.07	212.29	70.42	145.78
9.88	109.26	218.08	70.82	156.04
9.89	108.10	222.10	72.08	166.04
9.90	107.30	224.72	74.77	174.93
9.91	106.71	226.40	78.80	182.50
9.92	106.08	227.34	84.12	188.23
9.93	105.40	228.05	90.26	192.46
9.94	104.55	228.45	96.75	194.95
9.95	103.76	229.09	102.85	196.21
9.96	103.02	229.62	108.23	196.54
9.97	102.31	230.40	112.57	196.13
9.98	101.69	231.19	115.82	195.39
9.99	101.06	231.76	118.11	194.62
10.00	100.36	232.21	119.69	193.87
10.01	99.76	232.30	120.66	193.45
10.02	98.89	232.07	121.30	193.23
10.03	98.11	231.38	121.66	193.17
10.04	97.25	230.22	121.67	192.99
10.05	96.44	228.55	121.44	192.82
10.06	95.56	226.30	120.82	192.32
10.07	94.83	223.63	119.98	191.50
10.08	94.10	220.25	118.86	190.10
10.09	93.44	216.28	117.45	188.16
10.10	92.76	211.58	115.94	185.26
10.11	92.19	206.23	114.22	181.49
10.12	91.54	200.04	112.50	176.70
10.13	90.99	193.39	110.73	171.09
10.14	90.39	186.50	108.85	164.68
10.15	89.80	179.86	106.70	158.13
10.16	89.08	174.04	104.40	152.01
10.17	88.42	169.34	101.69	146.76
10.18	87.66	165.81	98.94	142.62
10.19	87.18	163.42	96.19	139.70
10.20	86.89	161.75	93.63	137.70
10.21	87.33	160.51	91.46	136.48
10.22	88.90	159.44	89.74	135.70
10.23	92.14	158.47	88.41	135.17
10.24	97.14	157.31	87.56	134.58
10.25	103.53	156.10	86.94	134.10
10.26	110.92	154.67	86.48	133.45
10.27	118.37	153.17	85.99	132.68
10.28	125.28	151.51	85.59	131.81
10.29	131.24	149.82	85.02	130.89
10.30	136.09	148.03	84.51	129.76
10.31	139.99	146.32	83.95	128.64
10.32	142.93	144.73	83.42	127.36
10.33	145.23	143.35	82.81	126.14
10.34	146.91	142.06	82.32	124.93
10.35	148.14	141.00	81.81	123.59
10.36	148.63	139.87	81.41	122.34
10.37	148.77	138.96	80.91	121.11
10.38	148.15	138.05	80.55	119.91
10.39	147.12	137.15	80.04	118.91
10.40	145.66	136.28	79.67	117.83
10.41	144.06	135.38	79.15	116.97
10.42	142.27	134.41	78.68	116.17
10.43	140.60	133.54	78.17	115.40
10.44	138.80	132.61	77.68	114.62
10.45	137.11	131.79	77.25	113.89
10.46	135.25	131.02	76.83	113.09
10.47	133.23	130.98	76.40	112.30
10.48	130.67	132.01	76.06	111.60
10.49	127.57	135.29	75.71	111.01
10.50	123.92	141.27	75.28	110.64
10.51	119.92	150.31	74.79	111.06
10.52	116.12	161.67	74.30	112.60
10.53	112.48	174.44	73.73	116.15
10.54	109.64	187.00	73.21	121.64
10.55	107.51	198.61	72.61	129.29
10.56	106.18	208.29	72.10	138.55
10.57	105.33	215.79	71.72	148.89
10.58	104.64	221.10	71.72	159.33
10.59	104.24	224.58	72.30	169.18
10.60	103.67	226.64	74.01	177.90
10.61	102.88	227.92	77.03	185.04
10.62	102.19	228.72	81.52	190.52
10.63	101.52	229.25	87.11	194.24
10.64	100.77	229.57	93.57	196.51
10.65	100.16	230.11	100.10	197.41
10.66	99.59	230.52	106.25	197.43
10.67	99.08	231.01	111.52	196.95
10.68	98.44	231.49	115.77	196.17
10.69	97.86	231.90	118.96	195.32
10.70	97.19	232.15	121.21	194.63
10.71	96.49	232.18	122.72	194.21
10.72	95.69	231.75	123.74	194.01
10.73	94.99	231.00	124.35	193.84
10.74	94.18	229.53	124.65	193.70
10.75	93.56	227.58	124.65	193.42
10.76	92.87	225.11	124.34	192.75
10.77	92.23	222.08	123.72	191.73
10.78	91.64	218.42	122.90	189.99
10.79	91.13	214.21	121.69	187.71
10.80	90.65	209.22	120.45	184.49
10.81	90.04	203.63	118.81	180.52
10.82	89.42	197.27	117.37	175.48
10.83	88.77	190.56	115.69	169.62
10.84	88.08	183.68	113.98	163.22
10.85	87.41	177.33	112.15	156.83
10.86	86.70	172.00	110.13	150.90
10.87	86.12	167.85	107.77	145.94
10.88	85.80	164.75	105.14	142.03
10.89	86.14	162.72	102.33	139.16
10.90	87.60	161.07	99.45	137.34
10.91	90.57	159.87	96.64	136.20
10.92	95.27	158.76	94.25	135.42
10.93	101.57	157.45	92.25	134.83
10.94	108.82	156.08	90.81	134.34
10.95	116.38	154.64	89.72	133.83
10.96	123.39	153.01	89.02	133.14
10.97	129.59	151.44	88.41	132.41
10.98	134.62	149.60	87.97	131.47
10.99	138.62	147.88	87.52	130.45
11.00	141.70	146.24	86.96	129.29
11.01	144.06	144.67	86.47	128.00
11.02	145.89	143.09	85.87	126.67
11.03	147.18	141.81	85.24	125.34
11.04	147.80	140.39	84.66	123.92
11.05	147.96	139.31	84.12	122.57
11.06	147.51	138.32	83.58	121.22
11.07	146.65	137.49	83.02	119.96
11.08	145.28	136.58	82.57	118.83
11.09	143.81	135.81	82.14	117.75
11.10	142.15	134.83	81.70	116.89
11.11	140.52	133.93	81.26	116.05
11.12	138.80	132.90	80.81	115.30
11.13	137.17	131.83	80.32	114.67
11.14	135.43	130.76	79.84	114.01
11.15	133.46	129.89	79.29	113.34
11.16	131.13	129.09	78.82	112.58
11.17	128.24	129.01	78.31	111.81
11.18	124.83	130.24	77.85	111.01
11.19	120.98	133.65	77.31	110.38
11.20	117.01	139.92	77.02	109.85
11.21	113.43	149.06	76.44	109.88
11.22	110.40	160.52	76.08	110.82
11.23	108.14	173.16	75.51	113.46
11.24	106.60	185.60	75.05	118.12
11.25	105.71	197.01	74.46	124.75
11.26	104.96	206.49	73.91	133.27
11.27	104.43	213.79	73.37	143.07
11.28	103.78	218.92	73.09	153.34
11.29	103.14	222.37	73.04	163.39
11.30	102.45	224.33	73.71	172.55
11.31	101.77	225.61	75.55	180.34
11.32	101.04	226.33	78.92	186.47
11.33	100.40	226.89	83.70	190.94
11.34	99.81	227.40	89.74	193.78
11.35	99.28	227.93	96.47	195.39
11.36	98.71	228.50	103.25	195.73
11.37	98.09	229.05	109.55	195.46
11.38	97.40	229.47	114.83	194.76
11.39	96.72	229.72	118.94	193.93
11.40	95.96	229.87	122.03	193.15
11.41	95.24	229.90	124.10	192.56
11.42	94.54	229.62	125.54	192.15
11.43	93.85	228.83	126.50	191.85
11.44	93.23	227.61	127.08	191.66
11.45	92.64	225.86	127.43	191.35
11.46	92.05	223.35	127.57	190.80
11.47	91.57	220.20	127.25	189.76
11.48	90.98	216.46	126.68	188.16
11.49	90.44	212.01	125.80	185.88
11.50	89.83	206.89	124.69	182.75
11.51	89.12	201.09	123.28	178.79
11.52	88.41	194.58	121.69	173.70
11.53	87.70	187.70	120.04	167.64
11.54	86.98	180.88	118.39	161.11
11.55	86.40	174.65	116.66	154.61
11.56	85.99	169.40	114.86	148.64
11.57	86.14	165.34	112.82	143.69
11.58	87.20	162.48	110.50	139.92
11.59	89.79	160.58	107.74	137.40
11.60	94.02	159.07	104.76	135.80
11.61	99.96	157.86	101.54	134.84
11.62	107.10	156.56	98.46	134.27
11.63	114.78	155.33	95.65	133.90
11.64	122.12	153.93	93.37	133.42
11.65	128.77	152.70	91.68	132.89
11.66	134.33	151.32	90.55	132.28
11.67	138.84	149.91	89.77	131.46
11.68	142.40	148.40	89.27	130.59
11.69	145.14	146.84	88.89	129.57
11.70	147.21	145.16	88.51	128.45
11.71	148.83	143.68	88.00	127.31
11.72	149.83	142.09	87.46	126.11
11.73	150.36	140.71	86.76	124.96
11.74	150.26	139.37	86.08	123.58
11.75	149.66	138.26	85.35	122.40
11.76	148.63	137.28	84.70	121.09
11.77	147.38	136.47	84.01	119.87
11.78	145.86	135.51	83.48	118.76
11.79	144.32	134.65	82.85	117.76
11.80	142.68	133.72	82.46	116.69
11.81	141.21	132.78	82.07	115.76
11.82	139.51	131.92	81.53	114.84
11.83	137.87	130.98	81.04	114.07
11.84	136.00	130.13	80.56	113.17
11.85	133.70	129.47	79.95	112.51
11.86	130.81	128.94	79.46	111.77
11.87	127.41	129.18	78.86	110.99
11.88	123.46	130.81	78.27	110.31
11.89	119.62	134.78	77.71	109.71
11.90	115.97	141.64	77.24	109.24
11.91	113.01	151.09	76.71	109.11
11.92	110.58	162.53	76.24	109.77
11.93	108.97	174.86	75.79	111.86
11.94	107.87	186.75	75.40	115.87
11.95	107.01	197.50	74.86	121.87
11.96	106.36	206.16	74.34	129.83
11.97	105.78	212.97	73.79	139.22
11.98	105.07	217.61	73.29	149.37
11.99	104.32	220.79	72.84	159.50
12.00	103.50	222.56	72.50	168.92
12.01	102.85	223.56	72.67	177.01
12.02	102.18	224.12	73.59	183.54
12.03	101.53	224.53	75.73	188.47
12.04	100.94	224.98	79.35	191.79
12.05	100.38	225.63	84.33	193.64
12.06	99.70	226.11	90.38	194.35
12.07	99.03	226.74	96.82	194.37
12.08	98.29	227.26	103.19	193.71
12.09	97.54	227.58	108.84	192.96
12.10	96.73	227.53	113.62	192.15
12.11	96.07	227.42	117.20	191.56
12.12	95.27	226.75	119.85	191.12
12.13	94.66	225.75	121.77	190.72
12.14	93.96	224.29	123.05	190.44
12.15	93.37	222.48	123.86	190.07
12.16	92.78	219.97	124.45	189.45
12.17	92.19	216.97	124.65	188.61
12.18	91.60	213.21	124.50	187.32
12.19	91.08	208.69	123.98	185.38
12.20	90.42	203.43	123.27	182.48
12.21	89.83	197.43	122.05	178.66
12.22	89.21	190.80	120.63	173.73
12.23	88.60	183.86	119.11	167.76
12.24	88.00	177.03	117.42	161.14
12.25	87.89	171.02	115.63	154.63
12.26	88.39	166.06	113.88	148.73
12.27	90.22	162.39	112.04	143.83
12.28	93.78	159.90	109.99	140.21
12.29	99.14	158.24	107.62	137.59
12.30	105.93	157.00	104.96	135.99
12.31	113.65	155.95	102.01	135.01
12.32	121.43	154.87	99.00	134.33
12.33	128.65	153.70	96.07	133.91
12.34	134.89	152.41	93.49	133.34
12.35	140.02	150.90	91.40	132.78
12.36	144.09	149.30	89.73	132.16
12.37	147.46	147.71	88.62	131.35
12.38	150.03	146.05	87.83	130.47
12.39	152.06	144.44	87.28	129.46
12.40	153.51	142.78	86.87	128.33
12.41	154.24	141.18	86.43	127.15
12.42	154.44	139.51	85.89	125.80
12.43	154.08	138.19	85.43	124.48
12.44	153.19	136.95	84.86	123.08
12.45	152.09	135.98	84.22	121.71
12.46	150.58	135.06	83.73	120.36
12.47	149.12	134.30	83.09	119.12
12.48	147.69	133.52	82.63	118.14
12.49	146.19	132.87	82.15	117.20
12.50	144.75	132.03	81.67	116.40
12.51	143.30	131.20	81.20	115.69
12.52	141.69	130.28	80.74	114.98
12.53	139.80	129.41	80.22	114.27
12.54	137.48	128.45	79.68	113.48
12.55	134.71	127.79	79.19	112.76
12.56	131.31	127.60	78.59	111.93
12.57	127.43	128.62	78.03	111.25
12.58	123.27	131.70	77.54	110.51
12.59	119.42	137.56	77.09	109.91
12.60	116.05	146.29	76.63	109.49
12.61	113.43	157.44	76.26	109.61
12.62	111.44	169.64	75.87	110.45
12.63	110.25	182.06	75.45	112.77
12.64	109.29	193.43	75.01	116.86
12.65	108.57	203.01	74.55	123.17
12.66	107.83	210.44	74.09	131.22
12.67	107.12	215.96	73.58	140.71
12.68	106.23	219.64	73.00	150.78
12.69	105.53	221.94	72.52	160.90
12.70	104.78	223.32	72.05	170.20
12.71	104.17	224.14	71.62	178.17
12.72	103.49	224.61	71.58	184.56
12.73	102.88	225.01	72.07	189.33
12.74	102.22	225.42	73.74	192.40
12.75	101.59	225.96	76.55	194.15
12.76	100.81	226.54	80.99	194.75
12.77	100.01	227.09	86.39	194.55
12.78	99.16	227.43	92.59	193.87
12.79	98.41	227.67	98.85	193.01
12.80	97.60	227.39	104.68	192.23
12.81	96.92	226.88	109.55	191.48
12.82	96.18	226.11	113.44	191.06
12.83	95.58	224.95	116.19	190.73
12.84	94.89	223.35	118.08	190.52
12.85	94.32	221.30	119.24	190.37
12.86	93.58	218.45	119.87	189.93
12.87	92.87	214.90	120.22	189.18
12.88	92.10	210.75	120.26	187.90
12.89	91.40	205.69	120.04	185.87
12.90	90.78	199.71	119.50	182.93
12.91	90.14	193.25	118.69	179.12
12.92	89.57	186.21	117.65	174.12
12.93	89.32	179.03	116.25	168.17
12.94	89.61	172.47	114.70	161.58
12.95	90.89	166.74	112.98	154.84
12.96	93.79	162.29	111.18	148.69
12.97	98.40	159.36	109.28	143.50
12.98	104.67	157.31	107.14	139.42
12.99	112.08	156.05	104.81	136.67
13.00	119.79	155.20	102.32	134.92
13.01	127.25	154.35	99.58	133.90
13.02	133.87	153.39	96.72	133.35
13.03	139.39	152.33	94.01	133.02
13.04	143.95	151.07	91.54	132.72
13.05	147.59	149.66	89.45	132.32
13.06	150.38	148.11	87.81	131.77
13.07	152.69	146.45	86.68	131.14
13.08	154.21	144.73	85.83	130.26
13.09	155.18	143.19	85.32	129.40
13.10	155.51	141.63	84.88	128.25
13.11	155.28	140.13	84.51	127.24
13.12	154.52	138.85	84.15	125.97
13.13	153.51	137.76	83.75	124.77
13.14	152.20	136.63	83.30	123.36
13.15	150.81	135.64	82.73	122.07
13.16	149.26	134.64	82.21	120.63
13.17	147.77	133.81	81.57	119.38
13.18	146.24	132.95	81.12	118.16
13.19	144.71	132.13	80.58	117.18
13.20	143.05	131.27	80.14	116.28
13.21	141.13	130.44	79.65	115.64
13.22	138.86	129.54	79.25	114.81
13.23	136.18	128.55	78.84	114.16
13.24	132.90	127.60	78.47	113.54
13.25	128.95	127.01	78.04	112.84
13.26	124.76	127.23	77.57	112.09
13.27	120.57	129.20	77.14	111.35
13.28	116.75	133.71	76.61	110.64
13.29	113.72	141.11	76.14	110.01
13.30	111.37	151.26	75.66	109.60
13.31	109.86	163.34	75.26	109.83
13.32	108.80	176.07	74.82	111.14
13.33	108.05	188.21	74.39	114.07
13.34	107.27	198.79	74.01	118.95
13.35	106.48	207.34	73.57	126.00
13.36	105.66	213.78	73.17	134.68
13.37	104.91	218.14	72.58	144.45
13.38	104.12	221.00	72.17	154.69
13.39	103.36	222.69	71.62	164.53
13.40	102.68	223.65	71.12	173.40
13.41	101.99	224.31	70.68	180.80
13.42	101.26	224.78	70.34	186.70
13.43	100.60	225.26	70.29	190.91
13.44	99.82	225.81	70.99	193.50
13.45	99.08	226.51	72.68	194.85
13.46	98.24	227.01	75.79	195.19
13.47	97.51	227.57	80.23	194.85
13.48	96.63	227.93	85.78	194.10
13.49	95.90	228.17	92.04	193.43
13.50	95.10	228.03	98.33	192.70
13.51	94.32	227.55	104.07	192.24
13.52	93.57	226.57	108.96	192.01
13.53	92.97	225.04	112.86	191.90
13.54	92.32	223.15	115.61	191.77
13.55	91.65	220.56	117.46	191.62
13.56	91.03	217.36	118.63	191.17
13.57	90.53	213.46	119.37	190.33
13.58	89.74	208.89	119.81	188.95
13.59	89.20	203.55	119.87	186.96
13.60	88.54	197.38	119.84	183.90
13.61	88.00	190.72	119.46	180.12
13.62	87.66	183.65	118.77	175.00
13.63	88.11	176.85	117.79	168.98
13.64	89.61	170.86	116.51	162.14
13.65	92.72	165.97	115.07	155.16
13.66	97.70	162.44	113.40	148.70
13.67	104.26	159.96	111.66	143.23
13.68	111.68	158.26	109.88	139.09
13.69	119.26	157.14	108.03	136.34
13.70	126.36	156.10	105.88	134.61
13.71	132.61	155.03	103.56	133.67
13.72	137.61	153.76	100.94	133.22
13.73	141.74	152.38	98.32	133.06
13.74	144.83	150.73	95.60	132.78
13.75	147.12	149.15	93.09	132.51
13.76	148.84	147.51	90.95	132.03
13.77	150.08	145.96	89.13	131.43
13.78	150.64	144.38	87.87	130.67
13.79	150.61	142.88	86.88	129.81
13.80	150.02	141.47	86.34	128.85
13.81	149.03	140.15	85.75	127.66
13.82	147.68	138.83	85.33	126.43
13.83	146.16	137.63	84.86	125.22
13.84	144.51	136.52	84.35	123.74
13.85	142.85	135.50	83.78	122.49
13.86	141.19	134.52	83.25	121.17
13.87	139.61	133.69	82.68	119.96
13.88	137.87	132.75	82.10	118.80
13.89	135.90	132.02	81.64	117.79
13.90	133.58	131.10	81.11	116.82
13.91	130.88	130.21	80.71	115.97
13.92	127.46	129.27	80.24	115.28
13.93	123.69	128.48	79.79	114.63
13.94	119.67	127.76	79.40	113.86
13.95	115.85	127.91	78.90	113.26
13.96	112.50	129.35	78.40	112.51
13.97	109.96	132.95	77.95	111.89
13.98	108.09	139.42	77.47	111.14
13.99	106.87	148.75	76.93	110.62
14.00	106.04	160.15	76.47	110.31
14.01	105.33	172.59	76.00	110.76
14.02	104.66	184.79	75.53	112.43
14.03	103.95	195.84	75.16	116.08
14.04	103.25	205.18	74.79	121.69
14.05	102.52	212.47	74.39	129.39
14.06	101.73	217.67	74.00	138.60
14.07	101.14	221.08	73.59	148.82
14.08	100.42	223.24	73.10	159.11
14.09	99.87	224.43	72.64	168.93
14.10	99.25	225.11	72.06	177.53
14.11	98.60	225.63	71.55	184.56
14.12	97.90	225.83	71.04	190.05
14.13	97.11	226.13	70.77	193.75
14.14	96.27	226.44	70.76	196.00
14.15	95.45	226.73	71.56	197.08
14.16	94.67	227.06	73.39	197.23
14.17	93.99	227.37	76.60	196.81
14.18	93.32	227.66	81.21	196.10
14.19	92.75	227.68	86.93	195.46
14.20	92.09	227.47	93.35	194.86
14.21	91.49	226.81	99.75	194.57
14.22	90.98	225.64	105.66	194.38
14.23	90.42	224.06	110.61	194.35
14.24	89.79	221.84	114.55	194.28
14.25	89.15	219.03	117.45	194.10
14.26	88.37	215.53	119.47	193.58
14.27	87.62	211.25	120.83	192.68
14.28	86.94	206.24	121.68	191.12
14.29	86.23	200.44	122.15	189.06
14.30	85.75	194.01	122.45	186.11
14.31	85.75	187.11	122.42	182.20
14.32	86.59	180.23	122.06	177.35
14.33	88.78	174.11	121.57	171.65
14.34	92.58	169.06	120.61	165.09
14.35	98.26	165.37	119.45	158.49
14.36	104.99	162.83	118.10	152.18
14.37	112.38	161.19	116.60	146.81
14.38	119.61	159.69	115.03	142.55
14.39	126.23	158.30	113.34	139.62
14.40	131.79	156.84	111.60	137.62
14.41	136.21	155.19	109.73	136.45
14.42	139.63	153.41	107.62	135.70
14.43	142.20	151.71	105.09	135.26
14.44	144.11	150.02	102.46	134.88
14.45	145.45	148.69	99.52	134.45
14.46	146.31	147.38	96.66	133.83
14.47	146.61	146.04	93.99	133.24
14.48	146.33	144.68	91.75	132.41
14.49	145.52	143.17	89.97	131.39
14.50	144.28	141.66	88.68	130.37
14.51	142.84	140.29	87.91	129.15
14.52	141.24	139.00	87.31	127.81
14.53	139.57	138.06	86.86	126.43
14.54	137.95	136.89	86.55	125.08
14.55	136.28	135.95	86.12	123.75
14.56	134.47	135.04	85.66	122.39
14.57	132.63	134.22	84.99	121.10
14.58	130.41	133.48	84.49	119.90
14.59	127.61	132.89	83.92	118.94
14.60	124.21	132.24	83.28	117.91
14.61	120.49	131.60	82.79	117.09
14.62	116.52	130.84	82.32	116.27
14.63	112.86	130.14	81.76	115.54
14.64	109.73	129.64	81.40	114.79
14.65	107.40	130.02	80.92	114.05
14.66	105.79	132.08	80.49	113.30
14.67	104.65	136.58	80.05	112.56
14.68	103.95	144.14	79.54	111.85
14.69	103.42	154.41	79.15	111.32
14.70	102.79	166.59	78.66	111.09
14.71	102.18	179.56	78.20	111.90
14.72	101.39	191.82	77.69	113.93
14.73	100.63	202.52	77.23	118.05
14.74	99.98	211.11	76.84	124.17
14.75	99.31	217.41	76.44	132.39
14.76	98.80	221.68	76.08	141.98
14.77	98.12	224.24	75.67	152.42
14.78	97.62	225.83	75.17	162.63
14.79	97.06	226.65	74.74	172.13
14.80	96.38	227.08	74.19	180.23
14.81	95.69	227.34	73.70	186.85
14.82	94.90	227.69	73.23	191.73
14.83	94.19	228.06	72.65	195.00
14.84	93.40	228.51	72.33	196.76
14.85	92.70	228.97	72.22	197.40
14.86	91.99	229.40	72.88	197.26
14.87	91.45	229.66	74.57	196.59
14.88	90.87	229.80	77.71	195.75
14.89	90.31	229.58	82.37	195.05
14.90	89.87	228.89	88.23	194.38
14.91	89.32	227.86	94.81	194.04
14.92	88.74	226.24	101.49	193.89
14.93	88.06	224.08	107.70	193.70
14.94	87.23	221.30	112.96	193.42
14.95	86.58	217.92	117.18	192.94
14.96	85.83	213.80	120.25	192.13
14.97	85.21	209.15	122.41	190.81
14.98	84.74	203.83	123.89	188.84
14.99	84.79	197.80	124.85	186.18
15.00	85.57	191.31	125.53	182.67
15.01	87.69	184.67	125.83	178.26
15.02	91.35	178.12	125.96	172.82
15.03	96.80	172.44	125.72	166.66
15.04	103.54	167.68	125.24	160.12
15.05	111.15	164.28	124.40	153.87
15.06	118.49	161.73	123.34	148.27
15.07	125.35	159.86	122.01	143.81
15.08	131.03	158.45	120.61	140.41
15.09	135.69	157.39	119.14	138.05
15.10	139.21	156.40	117.53	136.56
15.11	141.99	155.33	115.90	135.67
15.12	144.17	154.05	114.24	135.01
15.13	145.78	152.60	112.27	134.52
15.14	146.85	150.87	110.00	134.08
15.15	147.38	149.07	107.42	133.49
15.16	147.43	147.32	104.42	132.84
15.17	146.92	145.72	101.28	132.02
15.18	145.96	144.33	98.16	131.09
15.19	144.65	142.91	95.28	130.02
15.20	143.14	141.63	93.07	128.77
15.21	141.50	140.34	91.29	127.55
15.22	139.87	139.05	90.06	126.16
15.23	138.21	137.86	89.34	124.87
15.24	136.58	136.68	88.82	123.49
15.25	134.81	135.73	88.45	122.12
15.26	132.78	134.78	88.06	120.85
15.27	130.42	133.97	87.58	119.75
15.28	127.44	133.17	87.04	118.56
