t	Pre-Clamp(Aorta)	Post-Clamp	Pre-Clamp(Left-Iliac-Artery)	Post-Clamp
11.99	71.96	61.03	128.70	70.40
12.00	71.55	60.75	127.13	69.95
12.01	71.22	60.55	125.62	69.61
12.02	70.81	60.34	124.30	69.26
12.03	70.47	60.06	122.96	68.83
12.04	70.11	59.82	121.82	68.46
12.05	69.91	59.57	120.56	68.09
12.06	69.47	59.45	119.44	67.72
12.07	69.06	59.17	118.19	67.41
12.08	68.72	59.03	117.11	67.03
12.09	68.31	58.83	115.96	66.72
12.10	67.88	58.63	114.81	66.41
12.11	67.59	58.50	113.72	66.05
12.12	67.25	58.38	112.43	65.76
12.13	67.03	58.19	111.11	65.45
12.14	66.67	58.19	109.46	65.20
12.15	66.39	58.12	107.46	64.91
12.16	66.17	58.09	104.99	64.65
12.17	65.87	58.05	101.96	64.30
12.18	65.49	57.96	98.33	64.05
12.19	65.26	57.83	94.19	63.76
12.20	64.93	57.73	90.12	63.47
12.21	64.60	57.51	86.29	63.22
12.22	64.25	57.34	83.15	62.93
12.23	63.99	57.09	80.98	62.67
12.24	63.65	56.96	79.68	62.38
12.25	63.37	56.71	79.25	62.26
12.26	63.09	56.42	79.33	62.08
12.27	62.93	56.18	79.72	62.13
12.28	62.71	55.93	80.07	61.96
12.29	62.54	55.61	80.43	61.91
12.30	62.42	55.47	80.60	61.85
12.31	62.36	55.48	80.47	61.72
12.32	62.22	56.17	80.23	61.58
12.33	62.16	57.88	79.89	61.50
12.34	62.05	61.19	79.43	61.25
12.35	61.99	66.19	78.85	61.03
12.36	61.85	73.25	78.31	60.81
12.37	61.73	81.94	77.71	60.42
12.38	61.56	91.81	77.14	60.09
12.39	61.33	102.11	76.50	59.80
12.40	61.01	112.10	75.97	59.41
12.41	60.70	120.89	75.32	59.12
12.42	60.34	128.12	74.68	58.88
12.43	60.06	133.29	73.89	58.91
12.44	59.76	136.65	73.26	59.29
12.45	59.46	138.44	72.55	60.62
12.46	59.09	139.18	71.88	63.31
12.47	58.80	139.02	71.20	67.87
12.48	58.70	138.44	70.63	74.46
12.49	58.80	137.72	70.08	82.72
12.50	59.52	137.01	69.59	92.26
12.51	61.37	136.13	69.20	102.31
12.52	64.85	135.41	68.85	111.89
12.53	70.47	134.61	68.51	120.29
12.54	78.06	133.99	68.13	127.06
12.55	87.38	133.29	67.81	131.91
12.56	97.55	132.68	67.48	134.98
12.57	107.71	131.95	67.03	136.61
12.58	116.85	131.29	66.73	137.13
12.59	124.18	130.46	66.32	136.88
12.60	129.16	129.56	66.01	136.36
12.61	132.02	128.46	65.61	135.52
12.62	132.74	127.19	65.34	134.73
12.63	132.07	125.45	65.01	133.99
12.64	130.38	123.47	64.58	133.20
12.65	128.34	120.96	64.18	132.57
12.66	126.21	117.81	63.91	131.81
12.67	124.20	113.94	63.58	131.12
12.68	122.42	109.56	63.29	130.35
12.69	120.94	104.78	62.92	129.64
12.70	119.63	100.09	62.63	128.76
12.71	118.39	95.76	62.29	127.90
12.72	117.31	92.27	61.95	126.95
12.73	116.38	89.76	61.79	125.73
12.74	115.44	88.11	61.58	124.45
12.75	114.73	87.22	61.36	122.91
12.76	113.94	86.98	61.23	120.94
12.77	113.17	86.87	61.20	118.78
12.78	112.19	86.82	61.15	116.04
12.79	111.02	86.82	61.08	112.62
12.80	109.52	86.66	61.06	108.53
12.81	107.54	86.37	60.89	104.06
12.82	104.77	85.99	60.73	99.56
12.83	101.47	85.47	60.48	95.33
12.84	97.57	85.08	60.19	91.80
12.85	93.48	84.50	59.75	89.21
12.86	89.44	84.09	59.38	87.45
12.87	86.09	83.47	58.92	86.47
12.88	83.51	82.89	58.63	86.07
12.89	82.02	82.30	58.17	85.91
12.90	81.35	81.67	57.92	85.86
12.91	81.48	80.84	57.63	85.85
12.92	81.94	80.02	57.40	85.69
12.93	82.66	79.17	57.16	85.47
12.94	83.22	78.31	57.19	85.11
12.95	83.57	77.41	57.69	84.75
12.96	83.62	76.55	59.20	84.34
12.97	83.54	75.89	62.13	83.98
12.98	83.24	75.26	66.95	83.49
12.99	82.85	74.54	73.69	82.99
13.00	82.24	74.10	82.15	82.31
13.01	81.71	73.62	91.54	81.62
13.02	81.10	73.20	101.10	80.93
13.03	80.52	72.75	109.99	80.26
13.04	79.88	72.24	117.36	79.41
13.05	79.28	71.79	122.78	78.62
13.06	78.64	71.39	126.13	77.74
13.07	77.95	70.87	127.64	77.02
13.08	77.24	70.41	127.64	76.31
13.09	76.56	69.93	126.56	75.55
13.10	75.93	69.51	125.09	74.78
13.11	75.28	69.09	123.25	74.15
13.12	74.58	68.60	121.56	73.47
13.13	74.05	68.29	119.95	72.95
13.14	73.42	67.96	118.49	72.45
13.15	72.97	67.58	117.06	72.06
13.16	72.41	67.26	115.70	71.57
13.17	72.04	66.95	114.41	71.10
13.18	71.51	66.58	113.27	70.66
13.19	71.12	66.23	112.04	70.19
13.20	70.58	65.98	110.89	69.70
13.21	70.11	65.58	109.59	69.26
13.22	69.74	65.22	108.49	68.87
13.23	69.31	64.91	107.18	68.46
13.24	68.93	64.72	105.69	68.07
13.25	68.66	64.30	103.87	67.68
13.26	68.35	64.00	101.60	67.28
13.27	68.16	63.73	98.85	67.00
13.28	67.91	63.47	95.37	66.69
13.29	67.65	63.22	91.56	66.36
13.30	67.40	62.85	87.65	66.02
13.31	67.17	62.53	84.06	65.68
13.32	66.94	62.30	81.13	65.38
13.33	66.62	62.04	79.02	65.05
13.34	66.22	61.72	77.84	64.70
13.35	66.01	61.44	77.41	64.42
13.36	65.55	61.27	77.58	64.00
13.37	65.24	61.10	77.93	63.70
13.38	64.93	60.78	78.36	63.47
13.39	64.61	60.53	78.64	63.14
13.40	64.33	60.41	78.78	62.88
13.41	64.11	60.23	78.69	62.65
13.42	63.84	60.15	78.37	62.32
13.43	63.75	59.93	77.99	62.09
13.44	63.54	59.83	77.59	61.76
13.45	63.47	59.74	77.15	61.57
13.46	63.25	59.73	76.67	61.28
13.47	63.18	59.63	76.18	61.11
13.48	62.98	59.59	75.67	60.78
13.49	62.87	59.52	75.11	60.59
13.50	62.67	59.36	74.46	60.28
13.51	62.38	59.26	73.88	60.06
13.52	62.03	59.05	73.29	59.91
13.53	61.81	58.86	72.56	59.74
13.54	61.44	58.63	71.93	59.46
13.55	61.19	58.39	71.21	59.24
13.56	60.92	58.17	70.62	58.99
13.57	60.67	57.80	69.99	58.77
13.58	60.36	57.61	69.51	58.59
13.59	60.09	57.27	68.96	58.50
13.60	59.86	57.01	68.54	58.36
13.61	59.57	56.88	68.10	58.33
13.62	59.43	57.23	67.74	58.22
13.63	59.51	58.26	67.33	58.15
13.64	60.21	60.58	66.96	58.06
13.65	62.07	64.55	66.58	58.11
13.66	65.61	70.52	66.16	57.98
13.67	71.19	78.26	65.81	57.88
13.68	78.82	87.57	65.42	57.67
13.69	88.08	97.75	65.13	57.50
13.70	98.12	108.04	64.88	57.26
13.71	108.20	117.74	64.55	57.11
13.72	117.08	126.05	64.29	56.76
13.73	124.18	132.46	63.98	56.57
13.74	129.03	136.96	63.63	56.18
13.75	131.62	139.60	63.35	55.81
13.76	132.27	140.94	63.02	55.69
13.77	131.42	141.08	62.69	55.65
13.78	129.77	140.81	62.39	56.21
13.79	127.76	140.09	62.07	57.84
13.80	125.63	139.38	61.86	60.97
13.81	123.76	138.66	61.52	65.97
13.82	122.17	137.95	61.25	72.85
13.83	120.72	137.29	60.99	81.37
13.84	119.50	136.74	60.75	90.93
13.85	118.44	136.11	60.54	100.74
13.86	117.40	135.46	60.34	109.98
13.87	116.48	134.91	60.16	118.00
13.88	115.66	134.39	60.06	124.41
13.89	114.86	133.74	59.87	128.95
13.90	113.98	133.08	59.77	131.95
13.91	113.07	132.14	59.72	133.49
13.92	112.01	131.04	59.59	133.92
13.93	110.76	129.74	59.42	133.80
13.94	109.05	128.08	59.21	133.16
13.95	107.09	126.09	58.97	132.61
13.96	104.35	123.59	58.74	131.89
13.97	100.97	120.50	58.44	131.18
13.98	97.03	116.88	58.12	130.52
13.99	92.86	112.49	57.78	129.71
14.00	88.98	107.68	57.48	128.86
14.01	85.66	102.80	57.11	128.04
14.02	83.32	98.33	56.87	127.13
14.03	81.90	94.47	56.56	126.27
14.04	81.34	91.63	56.30	125.29
14.05	81.49	89.76	56.22	124.33
14.06	82.00	88.71	56.74	123.25
14.07	82.69	88.19	58.12	122.01
14.08	83.16	88.13	61.11	120.66
14.09	83.54	88.00	65.91	119.15
14.10	83.65	87.97	72.58	117.18
14.11	83.50	87.91	81.07	115.00
14.12	83.13	87.65	90.55	111.96
14.13	82.74	87.41	100.33	108.53
14.14	82.19	87.03	109.39	104.47
14.15	81.64	86.63	116.93	100.11
14.16	81.07	86.23	122.52	95.70
14.17	80.50	85.66	126.07	91.85
14.18	79.91	85.10	127.65	88.69
14.19	79.25	84.50	127.79	86.35
14.20	78.55	83.83	126.93	84.94
14.21	77.93	83.10	125.46	84.22
14.22	77.11	82.25	123.78	83.84
14.23	76.44	81.37	122.05	83.79
14.24	75.73	80.65	120.44	83.76
14.25	74.98	79.69	118.85	83.70
14.26	74.27	78.89	117.42	83.54
14.27	73.67	77.98	116.02	83.32
14.28	73.14	77.33	114.77	82.98
14.29	72.64	76.58	113.48	82.57
14.30	72.09	76.00	112.33	82.11
14.31	71.68	75.34	111.14	81.49
14.32	71.29	74.76	109.96	80.97
14.33	70.91	74.28	108.81	80.45
14.34	70.54	73.77	107.59	79.80
14.35	70.28	73.35	106.33	79.26
14.36	69.92	72.87	104.69	78.68
14.37	69.59	72.40	102.61	77.94
14.38	69.29	72.02	100.10	77.27
14.39	68.97	71.62	96.84	76.52
14.40	68.62	71.28	93.21	75.81
14.41	68.18	70.77	89.26	75.11
14.42	67.80	70.45	85.47	74.35
14.43	67.50	69.96	82.13	73.68
14.44	67.09	69.62	79.63	73.04
14.45	66.85	69.24	77.97	72.45
14.46	66.55	68.89	77.22	71.95
14.47	66.31	68.51	77.10	71.41
14.48	65.92	68.26	77.49	70.89
14.49	65.63	67.85	77.88	70.50
14.50	65.35	67.51	78.31	69.99
14.51	65.08	67.23	78.50	69.60
14.52	64.73	66.97	78.52	69.16
14.53	64.47	66.59	78.30	68.73
14.54	64.17	66.30	78.04	68.35
14.55	63.91	66.00	77.53	67.94
14.56	63.62	65.69	77.19	67.52
14.57	63.42	65.32	76.63	67.22
14.58	63.26	65.04	76.25	66.83
14.59	63.13	64.69	75.80	66.53
14.60	62.96	64.47	75.20	66.08
14.61	63.03	64.11	74.59	65.75
14.62	62.89	63.84	73.96	65.34
14.63	62.74	63.62	73.37	65.04
14.64	62.59	63.38	72.69	64.75
14.65	62.49	63.14	72.13	64.46
14.66	62.11	62.82	71.40	64.15
14.67	61.86	62.54	70.79	63.86
14.68	61.52	62.43	70.16	63.45
14.69	61.20	62.18	69.61	63.22
14.70	60.78	61.91	69.11	62.90
14.71	60.46	61.71	68.64	62.60
14.72	60.10	61.54	68.26	62.28
14.73	59.91	61.29	67.83	62.02
14.74	59.55	61.18	67.34	61.79
14.75	59.37	60.89	66.98	61.50
14.76	59.30	60.75	66.68	61.19
14.77	59.63	60.56	66.29	60.97
14.78	60.79	60.50	65.96	60.62
14.79	63.40	60.34	65.54	60.40
14.80	67.91	60.31	65.24	60.12
14.81	74.49	60.24	64.91	59.93
14.82	83.00	60.24	64.61	59.76
14.83	92.91	60.27	64.20	59.48
14.84	103.25	60.23	63.91	59.32
14.85	113.13	60.09	63.53	59.13
14.86	121.45	60.07	63.31	58.80
14.87	127.80	59.90	62.93	58.70
14.88	131.76	59.74	62.71	58.47
14.89	133.58	59.53	62.43	58.33
14.90	133.77	59.30	62.09	58.27
14.91	132.66	59.01	61.83	58.19
14.92	130.87	58.76	61.60	58.06
14.93	128.89	58.42	61.38	58.08
14.94	126.94	58.19	61.09	57.98
14.95	125.19	58.00	60.75	57.97
14.96	123.67	58.00	60.51	57.80
14.97	122.32	58.31	60.26	57.72
14.98	121.22	59.59	60.11	57.44
14.99	120.22	62.08	59.96	57.23
15.00	119.28	66.38	59.95	56.92
15.01	118.43	72.62	59.95	56.60
15.02	117.55	80.79	59.96	56.32
15.03	116.70	90.44	59.88	56.10
15.04	115.88	100.89	59.79	55.77
15.05	115.05	111.35	59.61	55.55
15.06	113.88	121.08	59.36	55.28
15.07	112.55	129.23	58.94	55.13
15.08	110.99	135.53	58.66	55.18
15.09	108.86	139.85	58.31	55.79
15.10	106.08	142.32	58.00	57.38
15.11	102.69	143.50	57.63	60.36
15.12	98.74	143.71	57.34	65.11
15.13	94.43	143.32	57.01	71.70
15.14	90.20	142.77	56.81	79.88
15.15	86.62	142.08	56.56	88.80
15.16	84.02	141.48	56.54	97.92
15.17	82.40	140.92	56.85	106.64
15.18	81.67	140.35	58.10	114.01
15.19	82.00	139.71	60.70	119.93
15.20	82.55	139.31	65.24	124.28
15.21	83.27	138.73	71.71	126.94
15.22	83.95	138.26	79.99	128.37
15.23	84.45	137.67	89.56	128.73
15.24	84.64	137.12	99.47	128.50
15.25	84.59	136.43	108.83	127.85
15.26	84.27	135.61	116.92	126.92
15.27	83.96	134.54	123.04	126.06
15.28	83.36	133.28	127.00	125.03
15.29	82.85	131.64	128.97	124.01
15.30	82.11	129.79	129.40	123.00
15.31	81.45	127.55	128.69	122.01
15.32	80.73	124.96	127.49	121.00
15.33	80.05	121.74	125.94	120.01
15.34	79.23	117.86	124.37	118.98
15.35	78.47	113.38	122.84	117.94
15.36	77.61	108.50	121.41	116.88
15.37	76.85	103.60	120.14	115.74
15.38	76.12	99.07	118.89	114.45
15.39	75.44	95.24	117.67	112.88
15.40	74.73	92.38	116.48	111.10
15.41	74.16	90.37	115.30	108.72
15.42	73.61	89.26	114.17	105.83
15.43	73.14	88.64	113.02	102.48
15.44	72.69	88.49	111.91	98.54
15.45	72.42	88.33	110.66	94.52
15.46	71.98	88.36	109.42	90.64
15.47	71.71	88.17	107.81	87.36
15.48	71.32	88.14	106.07	84.86
15.49	71.04	87.77	103.91	83.22
15.50	70.72	87.38	101.15	82.27
15.51	70.39	86.91	97.76	81.84
15.52	70.00	86.45	93.92	81.71
15.53	69.75	85.78	89.82	81.70
15.54	69.27	85.19	86.06	81.48
15.55	68.99	84.41	82.81	81.43
15.56	68.63	83.70	80.36	81.16
15.57	68.28	82.80	78.85	80.87
15.58	67.87	82.04	78.21	80.38
15.59	67.63	81.06	78.11	79.95
15.60	67.33	80.26	78.56	79.47
15.61	67.00	79.38	78.89	78.97
15.62	66.62	78.51	79.30	78.53
15.63	66.29	77.72	79.52	78.13
15.64	65.85	76.95	79.41	77.63
15.65	65.49	76.23	79.26	77.05
15.66	65.13	75.57	78.89	76.42
15.67	64.96	74.86	78.42	75.80
15.68	64.70	74.34	77.98	75.11
15.69	64.53	73.72	77.51	74.42
15.70	64.47	73.30	77.03	73.80
15.71	64.36	72.74	76.53	73.08
15.72	64.30	72.28	75.99	72.40
15.73	64.27	71.87	75.41	71.84
15.74	64.11	71.49	74.75	71.28
15.75	64.09	71.02	74.06	70.81
15.76	63.97	70.58	73.55	70.27
15.77	63.86	70.12	72.83	69.82
15.78	63.56	69.77	72.20	69.30
15.79	63.37	69.27	71.53	68.89
15.80	62.98	68.92	70.94	68.41
15.81	62.70	68.48	70.35	68.03
15.82	62.33	68.14	69.84	67.64
15.83	62.02	67.75	69.40	67.25
15.84	61.65	67.44	68.90	66.83
15.85	61.34	67.00	68.45	66.47
15.86	60.90	66.72	68.07	66.08
15.87	60.62	66.35	67.72	65.83
15.88	60.36	66.06	67.36	65.38
15.89	60.46	65.69	67.03	65.09
15.90	61.14	65.40	66.70	64.72
15.91	63.15	65.00	66.33	64.40
15.92	66.88	64.74	65.97	64.06
15.93	72.86	64.35	65.68	63.73
15.94	80.78	64.06	65.43	63.40
15.95	90.51	63.70	65.03	63.13
15.96	101.16	63.45	64.79	62.80
15.97	111.85	63.11	64.44	62.52
15.98	121.30	62.80	64.22	62.25
15.99	128.78	62.45	63.92	61.96
16.00	133.92	62.18	63.62	61.63
16.01	136.71	61.92	63.35	61.42
16.02	137.45	61.69	63.03	61.13
16.03	136.74	61.39	62.75	60.90
16.04	135.17	61.15	62.52	60.56
16.05	133.27	60.95	62.21	60.31
16.06	131.23	60.81	62.02	60.03
16.07	129.44	60.51	61.74	59.80
16.08	127.96	60.29	61.60	59.61
16.09	126.69	60.05	61.37	59.37
16.10	125.53	59.88	61.25	59.19
16.11	124.70	59.63	61.19	59.08
16.12	123.86	59.41	61.08	58.93
16.13	123.12	59.11	60.95	58.90
16.14	122.43	58.94	60.91	58.72
16.15	121.82	58.62	60.84	58.70
16.16	121.17	58.42	60.66	58.53
16.17	120.54	58.28	60.45	58.47
16.18	119.70	58.19	60.23	58.20
16.19	118.68	58.10	59.90	58.13
16.20	117.32	58.00	59.57	57.93
16.21	115.74	57.95	59.24	57.69
16.22	113.57	57.94	58.94	57.37
16.23	110.85	57.85	58.45	57.07
16.24	107.31	57.78	58.18	56.76
16.25	103.30	57.67	57.84	56.54
16.26	98.83	57.60	57.75	56.29
16.27	94.39	57.48	57.87	56.01
16.28	90.41	57.31	58.89	55.64
16.29	87.42	57.11	61.07	55.51
16.30	85.30	56.96	65.17	55.64
16.31	84.42	56.74	71.21	56.43
16.32	84.17	56.56	79.31	58.25
16.33	84.75	56.22	88.76	61.72
16.34	85.35	55.93	98.99	66.91
16.35	86.02	55.65	108.89	73.83
16.36	86.49	55.42	117.69	82.11
16.37	86.79	55.25	124.60	91.19
16.38	86.76	55.40	129.45	100.30
16.39	86.51	56.14	132.20	108.67
16.40	86.13	58.00	133.22	115.72
16.41	85.71	61.43	132.99	121.18
16.42	85.14	66.70	132.11	124.90
16.43	84.58	73.81	130.74	127.24
16.44	83.90	82.63	129.37	128.23
16.45	83.23	92.49	128.02	128.37
16.46	82.48	102.74	126.65	127.96
16.47	81.68	112.52	125.40	127.24
16.48	80.82	121.19	124.35	126.36
16.49	80.07	128.10	123.25	125.37
16.50	79.17	133.24	122.29	124.35
16.51	78.37	136.41	121.27	123.34
16.52	77.57	138.09	120.29	122.22
16.53	76.90	138.53	119.26	121.22
16.54	76.25	138.43	118.29	120.17
16.55	75.70	137.82	117.21	119.19
16.56	75.16	137.18	116.04	118.19
16.57	74.74	136.38	114.74	117.19
16.58	74.30	135.80	113.28	116.16
16.59	73.96	135.06	111.52	114.97
16.60	73.51	134.46	109.33	113.62
16.61	73.19	133.71	106.55	112.09
16.62	72.75	133.11	103.28	110.21
16.63	72.43	132.44	99.25	107.83
16.64	71.99	131.73	95.07	104.86
16.65	71.62	130.97	90.95	101.39
16.66	71.26	130.22	87.35	97.48
16.67	70.90	129.35	84.44	93.31
16.68	70.50	128.30	82.47	89.49
16.69	70.22	127.05	81.39	86.16
16.70	69.97	125.48	81.04	83.70
16.71	69.62	123.54	81.12	82.17
16.72	69.30	121.20	81.48	81.20
16.73	69.03	118.25	81.80	80.80
16.74	68.71	114.59	81.97	80.72
16.75	68.36	110.37	82.00	80.73
16.76	68.03	105.80	81.84	80.70
16.77	67.74	101.00	81.50	80.55
16.78	67.50	96.72	81.15	80.27
16.79	67.17	92.95	80.60	79.98
16.80	66.88	90.23	80.18	79.50
16.81	66.78	88.33	79.53	79.07
16.82	66.57	87.33	79.07	78.56
16.83	66.48	86.73	78.45	78.22
16.84	66.34	86.56	77.82	77.73
16.85	66.30	86.54	77.08	77.34
16.86	66.15	86.57	76.38	76.80
16.87	66.08	86.43	75.61	76.19
16.88	65.91	86.25	75.00	75.59
16.89	65.64	85.91	74.28	74.98
16.90	65.35	85.52	73.69	74.29
16.91	65.02	85.05	73.11	73.66
16.92	64.64	84.60	72.53	72.99
16.93	64.40	84.04	71.96	72.48
16.94	64.00	83.51	71.59	71.77
16.95	63.74	82.88	71.14	71.13
16.96	63.37	82.16	70.80	70.48
16.97	63.11	81.51	70.41	69.98
16.98	62.64	80.81	70.11	69.34
16.99	62.62	79.99	69.70	68.93
17.00	63.07	79.28	69.22	68.46
17.01	64.58	78.36	68.72	68.16
17.02	67.74	77.61	68.33	67.81
17.03	73.01	76.81	67.94	67.46
17.04	80.52	76.04	67.55	66.99
17.05	89.98	75.29	67.11	66.66
17.06	100.60	74.71	66.91	66.20
17.07	111.43	74.09	66.41	65.82
17.08	121.42	73.50	66.17	65.45
17.09	129.66	72.95	65.68	65.13
17.10	135.55	72.49	65.49	64.78
17.11	139.03	72.01	65.05	64.41
17.12	140.23	71.62	64.82	64.00
17.13	139.90	71.13	64.45	63.78
17.14	138.38	70.75	64.18	63.43
17.15	136.43	70.22	63.83	63.23
17.16	134.38	69.84	63.59	62.93
17.17	132.63	69.31	63.28	62.63
17.18	131.01	68.96	63.01	62.32
17.19	129.80	68.43	62.65	62.05
17.20	128.71	68.16	62.46	61.80
17.21	127.92	67.80	62.22	61.63
17.22	127.28	67.43	62.07	61.33
17.23	126.67	67.08	61.94	61.01
17.24	126.13	66.77	61.69	60.70
17.25	125.70	66.45	61.52	60.37
17.26	125.07	66.09	61.43	60.16
17.27	124.46	65.66	61.26	59.93
17.28	123.55	65.40	61.13	59.64
17.29	122.65	65.05	60.86	59.49
17.30	121.38	64.76	60.51	59.22
17.31	119.74	64.36	60.15	59.09
17.32	117.64	64.11	59.90	58.83
17.33	115.13	63.71	59.48	58.71
17.34	111.88	63.38	59.16	58.59
17.35	107.99	63.03	58.80	58.52
17.36	103.52	62.68	58.55	58.41
17.37	98.90	62.35	58.19	58.36
17.38	94.39	62.12	58.06	58.30
17.39	90.70	61.83	58.19	58.21
17.40	87.92	61.63	59.05	58.13
17.41	86.27	61.34	60.97	57.90
17.42	85.54	61.06	64.72	57.75
17.43	85.67	60.85	70.45	57.49
17.44	86.17	60.65	78.25	57.23
17.45	86.87	60.33	87.56	57.06
17.46	87.49	60.15	97.66	56.75
17.47	87.83	59.94	107.66	56.49
17.48	88.03	59.70	116.74	56.19
17.49	87.97	59.46	124.11	55.86
17.50	87.63	59.32	129.33	55.53
17.51	87.19	59.09	132.56	55.39
17.52	86.56	58.97	133.87	55.50
17.53	85.90	58.71	133.87	56.31
17.54	85.11	58.48	133.11	58.17
17.55	84.41	58.21	131.79	61.63
17.56	83.57	58.02	130.35	66.87
17.57	82.70	57.81	128.93	73.80
17.58	81.78	57.76	127.55	82.22
17.59	80.96	57.53	126.28	91.46
17.60	80.07	57.52	125.07	100.68
17.61	79.21	57.42	123.88	109.22
17.62	78.35	57.40	122.88	116.42
17.63	77.61	57.33	121.66	122.04
17.64	76.85	57.28	120.72	125.92
17.65	76.25	57.26	119.61	128.38
17.66	75.61	57.18	118.66	129.49
17.67	75.14	56.93	117.64	129.72
17.68	74.65	56.75	116.51	129.39
17.69	74.23	56.50	115.23	128.70
17.70	73.83	56.35	113.70	127.94
17.71	73.54	56.10	111.94	127.14
17.72	73.11	55.93	109.81	126.20
17.73	72.83	55.64	106.99	125.34
17.74	72.41	55.47	103.72	124.33
17.75	72.07	55.17	99.69	123.38
17.76	71.69	54.93	95.52	122.37
17.77	71.29	54.68	91.26	121.36
17.78	70.86	54.75	87.57	120.39
17.79	70.56	54.97	84.52	119.44
17.80	70.09	56.05	82.44	118.41
17.81	69.76	58.22	81.26	117.27
17.82	69.38	62.33	80.87	115.95
17.83	69.03	68.71	80.81	114.53
17.84	68.65	77.25	81.17	112.77
17.85	68.40	87.37	81.41	110.70
17.86	68.05	98.18	81.70	108.16
17.87	67.74	108.47	81.64	105.10
17.88	67.40	117.40	81.61	101.37
17.89	67.17	124.41	81.31	97.36
17.90	66.71	129.48	81.07	93.25
17.91	66.37	132.68	80.47	89.58
17.92	66.08	134.37	80.05	86.50
17.93	65.75	134.89	79.50	84.26
17.94	65.43	134.95	78.97	82.79
17.95	65.28	134.87	78.26	82.06
17.96	65.07	134.89	77.64	81.65
17.97	64.98	134.69	76.94	81.64
17.98	64.85	134.29	76.30	81.67
17.99	64.80	133.35	75.53	81.63
18.00	64.70	132.12	74.87	81.42
18.01	64.62	130.82	74.21	81.09
18.02	64.40	129.78	73.58	80.73
18.03	64.33	129.03	72.94	80.34
18.04	64.08	128.68	72.29	80.01
18.05	63.77	128.29	71.71	79.55
18.06	63.40	127.86	71.18	79.18
18.07	63.07	127.11	70.57	78.75
18.08	62.62	126.21	70.02	78.21
18.09	62.34	125.26	69.45	77.73
18.10	61.87	124.16	69.03	77.03
18.11	61.53	122.55	68.63	76.49
18.12	61.17	120.36	68.21	75.76
18.13	60.87	117.25	67.74	75.05
18.14	60.70	113.50	67.36	74.36
18.15	61.12	108.85	66.99	73.73
18.16	62.32	104.02	66.66	73.01
18.17	65.10	99.23	66.31	72.40
18.18	69.82	95.04	66.04	71.80
18.19	76.69	91.57	65.68	71.28
18.20	85.54	89.22	65.36	70.68
18.21	95.86	87.71	64.97	70.22
18.22	106.52	86.91	64.69	69.70
18.23	116.68	86.57	64.39	69.38
18.24	125.23	86.46	63.97	68.88
18.25	131.56	86.35	63.59	68.57
18.26	135.40	86.29	63.26	68.03
18.27	136.96	86.07	62.92	67.76
18.28	136.71	85.88	62.62	67.28
18.29	135.32	85.42	62.32	66.99
18.30	133.29	85.00	62.09	66.60
18.31	131.21	84.48	61.81	66.24
18.32	129.12	84.09	61.62	65.93
18.33	127.41	83.40	61.39	65.65
18.34	125.98	82.92	61.27	65.26
18.35	124.67	82.16	61.04	64.96
18.36	123.69	81.37	60.87	64.63
18.37	122.83	80.49	60.71	64.38
18.38	121.91	79.56	60.62	64.08
18.39	121.19	78.57	60.49	63.85
18.40	120.45	77.68	60.31	63.47
18.41	119.79	76.72	60.15	63.19
18.42	119.00	75.82	59.96	62.91
18.43	118.18	74.87	59.75	62.73
18.44	117.11	74.23	59.46	62.41
18.45	115.85	73.68	59.21	62.21
18.46	114.03	73.17	58.89	61.94
18.47	111.76	72.73	58.61	61.70
18.48	108.64	72.43	58.23	61.39
18.49	104.94	72.09	57.93	61.19
18.50	100.61	71.71	57.58	60.86
18.51	96.06	71.16	57.29	60.61
18.52	91.82	70.53	57.03	60.31
18.53	88.22	69.79	56.96	60.12
18.54	85.59	69.11	57.23	59.88
18.55	84.13	68.51	58.25	59.71
18.56	83.58	68.04	60.65	59.57
18.57	83.76	67.52	64.70	59.33
18.58	84.39	67.23	70.79	59.29
18.59	85.15	66.93	78.63	59.19
18.60	85.65	66.82	87.83	59.19
18.61	86.11	66.53	97.49	59.10
18.62	86.15	66.30	106.91	59.13
18.63	86.00	65.96	115.02	59.05
18.64	85.69	65.68	121.37	58.91
18.65	85.19	65.33	125.51	58.81
18.66	84.56	65.06	127.84	58.62
18.67	83.90	64.85	128.49	58.39
18.68	83.15	64.87	128.04	58.22
18.69	82.39	64.78	126.83	57.99
18.70	81.59	64.64	125.32	57.72
18.71	80.82	64.33	123.61	57.42
18.72	79.97	64.21	121.96	57.12
18.73	79.28	63.91	120.46	56.79
18.74	78.39	63.56	119.04	56.61
18.75	77.69	63.20	117.62	56.57
18.76	76.99	62.78	116.26	57.05
18.77	76.31	62.29	114.96	58.52
18.78	75.73	61.95	113.73	61.37
18.79	75.24	61.41	112.49	66.07
18.80	74.73	61.03	111.28	72.71
18.81	74.22	60.59	110.10	80.95
18.82	73.82	60.32	108.88	90.21
18.83	73.43	59.89	107.41	99.77
18.84	72.99	59.69	105.83	108.80
18.85	72.68	59.60	103.74	116.81
18.86	72.22	59.65	101.20	123.05
18.87	71.98	59.66	97.98	127.71
18.88	71.60	59.81	94.30	130.65
18.89	71.28	59.86	90.32	132.28
18.90	70.94	60.10	86.76	132.82
18.91	70.56	60.22	83.59	132.77
18.92	70.12	60.09	81.20	132.21
18.93	69.76	59.68	79.70	131.67
18.94	69.25	59.21	79.00	130.88
18.95	68.72	58.72	78.83	130.21
