50000, 	 600, 	 0.36, 	 1800, 	 0.00001000000000000000, 	 0.96811833339740305249, 	 0.07735337030968227057, 	 0.04055022685632331952, 	 0.04726019146240647423
50000, 	 600, 	 0.36, 	 1800, 	 0.00000100000000000000, 	 0.96825145254639344294, 	 0.08029978796796521934, 	 0.03935233518404291503, 	 0.04709643963003491002
50000, 	 600, 	 0.40, 	 1700, 	 0.00001000000000000000, 	 0.88113632752811477111, 	 0.11410183387048167258, 	 0.08050513355078192657, 	 0.09232611562908829561
50000, 	 600, 	 0.40, 	 1700, 	 0.00000100000000000000, 	 0.88581508098635741710, 	 0.10815888609209066418, 	 0.08009466704659867764, 	 0.09040266273926776674
50000, 	 600, 	 0.40, 	 1750, 	 0.00001000000000000000, 	 0.82331990401271626379, 	 0.12967976428707658765, 	 0.10136844376567831494, 	 0.11247805522394606348
50000, 	 600, 	 0.40, 	 1750, 	 0.00000100000000000000, 	 0.82802048553832441335, 	 0.12347124706921631943, 	 0.10115690997137581630, 	 0.11088574815027724130
50000, 	 600, 	 0.40, 	 1800, 	 0.00001000000000000000, 	 0.74931012965141707838, 	 0.14508005279055835590, 	 0.12558851933370970833, 	 0.13394238155362322984
50000, 	 600, 	 0.40, 	 1800, 	 0.00000100000000000000, 	 0.75401235301040858694, 	 0.13862187572430847982, 	 0.12555541278738380218, 	 0.13259793126063640356
50000, 	 600, 	 0.45, 	 1700, 	 0.00001000000000000000, 	 0.38305850732377977330, 	 0.23414212226129593741, 	 0.19593740136913379013, 	 0.21098832256883603975
50000, 	 600, 	 0.45, 	 1700, 	 0.00000100000000000000, 	 0.39294693154293358628, 	 0.22822546822066117067, 	 0.19589424961682375126, 	 0.20921596224868083125
50000, 	 600, 	 0.45, 	 1750, 	 0.00001000000000000000, 	 0.23247005599334247261, 	 0.25159146717371472235, 	 0.22405261824147007510, 	 0.23522209899491944296
50000, 	 600, 	 0.45, 	 1750, 	 0.00000100000000000000, 	 0.24252776503817341514, 	 0.24541980295285434344, 	 0.22400494132681894599, 	 0.23359895028428395714
50000, 	 600, 	 0.45, 	 1800, 	 0.00001000000000000000, 	 0.06337162514942706881, 	 0.26881861548298985332, 	 0.25184769988381544570, 	 0.25975073194993619774
50000, 	 600, 	 0.45, 	 1800, 	 0.00000100000000000000, 	 0.07356182016141021851, 	 0.26240903911424773298, 	 0.25179489863088433399, 	 0.25825562636715443388
50000, 	 700, 	 0.30, 	 1700, 	 0.00001000000000000000, 	 0.91238641747837412321, 	 0.08610630461086475618, 	 0.07515430238466468127, 	 0.08004602996645740487
50000, 	 700, 	 0.30, 	 1700, 	 0.00000100000000000000, 	 0.90725306554788054392, 	 0.08857118673469430159, 	 0.07694528439809887599, 	 0.08235516220594925330
50000, 	 700, 	 0.30, 	 1750, 	 0.00001000000000000000, 	 0.93170993081057917884, 	 0.08898301515322998290, 	 0.06501761272893649690, 	 0.07053037386617706794
50000, 	 700, 	 0.30, 	 1750, 	 0.00000100000000000000, 	 0.92632945584222436963, 	 0.09397238586228651158, 	 0.06719066746922718047, 	 0.07325768955332834231
50000, 	 700, 	 0.30, 	 1800, 	 0.00001000000000000000, 	 0.93736491869486504580, 	 0.10549191779441442762, 	 0.05887039793858271641, 	 0.06725348883188030091
50000, 	 700, 	 0.30, 	 1800, 	 0.00000100000000000000, 	 0.93175720940910355949, 	 0.11053740162631231492, 	 0.06173966400992622616, 	 0.07022155116098494076
50000, 	 700, 	 0.36, 	 1700, 	 0.00001000000000000000, 	 0.77184223777228855301, 	 0.13541388135252885316, 	 0.12292079216509432804, 	 0.12791599928248451046
50000, 	 700, 	 0.36, 	 1700, 	 0.00000100000000000000, 	 0.77431444156662543321, 	 0.13895734806130349837, 	 0.12288694811406856988, 	 0.12717022128073282583
50000, 	 700, 	 0.36, 	 1750, 	 0.00001000000000000000, 	 0.67637792463665846743, 	 0.15515723569702546958, 	 0.14953919797264508817, 	 0.15232204886318054249
50000, 	 700, 	 0.36, 	 1750, 	 0.00000100000000000000, 	 0.67888304233704577229, 	 0.15869604973851283991, 	 0.14950164866293369492, 	 0.15168309797209714174
50000, 	 700, 	 0.36, 	 1800, 	 0.00001000000000000000, 	 0.56393758716932262942, 	 0.17462392585672376066, 	 0.17586304364084170970, 	 0.17680243047158519798
50000, 	 700, 	 0.36, 	 1800, 	 0.00000100000000000000, 	 0.56646594554110918374, 	 0.17813844476812440432, 	 0.17582364921140167247, 	 0.17624355864097634994
50000, 	 700, 	 0.40, 	 1700, 	 0.00001000000000000000, 	 0.21912324612692213321, 	 0.24285691067732720350, 	 0.23520617154955308914, 	 0.23724162850092975208
50000, 	 700, 	 0.40, 	 1700, 	 0.00000100000000000000, 	 0.22664202573943903474, 	 0.23893036219976068746, 	 0.23515855940625920995, 	 0.23603942653702608689
50000, 	 700, 	 0.40, 	 1750, 	 0.00001000000000000000, 	 0.03237980381718918999, 	 0.26302486272170311210, 	 0.26412229069251774716, 	 0.26400811973647386743
50000, 	 700, 	 0.40, 	 1750, 	 0.00000100000000000000, 	 0.04007185352755526786, 	 0.25893502464585482770, 	 0.26407195864802524010, 	 0.26289948102178012368
50000, 	 700, 	 0.40, 	 1800, 	 0.00001000000000000000, 	 -0.17347855829867908639, 	 0.28281463775962056850, 	 0.29270820424765647827, 	 0.29066699891788427834
50000, 	 700, 	 0.40, 	 1800, 	 0.00000100000000000000, 	 -0.16562064915181684555, 	 0.27857518357968569234, 	 0.29265095392460099832, 	 0.28963559001021210726
50000, 	 700, 	 0.45, 	 1700, 	 0.00001000000000000000, 	 -0.94755583274314791886, 	 0.38653575160796099786, 	 0.37276578400815141290, 	 0.37505665708281721304
50000, 	 700, 	 0.45, 	 1700, 	 0.00000100000000000000, 	 -0.93435663951430592000, 	 0.38200397004969682824, 	 0.37272241672243194843, 	 0.37371996610665331184
50000, 	 700, 	 0.45, 	 1750, 	 0.00001000000000000000, 	 -1.26290597110106794787, 	 0.40794778427320821379, 	 0.40442342298768885200, 	 0.40416603126683181557
50000, 	 700, 	 0.45, 	 1750, 	 0.00000100000000000000, 	 -1.24937678182671785265, 	 0.40331536376032450786, 	 0.40436717837538260767, 	 0.40289090119678183655
50000, 	 700, 	 0.45, 	 1800, 	 0.00001000000000000000, 	 -1.59980266785230496041, 	 0.42895305406814165927, 	 0.43568574740252935529, 	 0.43310113244476083905
50000, 	 700, 	 0.45, 	 1800, 	 0.00000100000000000000, 	 -1.58608897934980497268, 	 0.42435548695325037150, 	 0.43563064411630103567, 	 0.43189132204855862351
100000, 	 500, 	 0.30, 	 1700, 	 0.00001000000000000000, 	 -0.35909251852270540617, 	 0.34026745773758315661, 	 0.30411054484064153902, 	 0.31464610859950586930
100000, 	 500, 	 0.30, 	 1700, 	 0.00000100000000000000, 	 -0.37039469015579973288, 	 0.34316736593599078686, 	 0.30410790784206492843, 	 0.31598832032075069298
100000, 	 500, 	 0.30, 	 1750, 	 0.00001000000000000000, 	 -0.22868654623227824274, 	 0.32753921362052390576, 	 0.28682626623451407122, 	 0.29924599026141479596
100000, 	 500, 	 0.30, 	 1750, 	 0.00000100000000000000, 	 -0.24065493081618982707, 	 0.33061239772492889699, 	 0.28682440869526615312, 	 0.30073537607471861888
100000, 	 500, 	 0.30, 	 1800, 	 0.00001000000000000000, 	 -0.10721271508190355348, 	 0.31500115541422163412, 	 0.26969579123498271800, 	 0.28414324253398737241
100000, 	 500, 	 0.30, 	 1800, 	 0.00000100000000000000, 	 -0.11983772846156881542, 	 0.31824380384339512329, 	 0.26969567879929873255, 	 0.28579236109112504671
100000, 	 500, 	 0.36, 	 1700, 	 0.00001000000000000000, 	 0.53756789196857479585, 	 0.19632333832258760942, 	 0.17492069670127960435, 	 0.18368981543648182919
100000, 	 500, 	 0.36, 	 1700, 	 0.00000100000000000000, 	 0.53125981987610171320, 	 0.20017849443974891632, 	 0.17491782723855042736, 	 0.18496370986705393258
100000, 	 500, 	 0.36, 	 1750, 	 0.00001000000000000000, 	 0.62286378272672870970, 	 0.18169894706671255169, 	 0.15535989638831221304, 	 0.16596441320369542671
100000, 	 500, 	 0.36, 	 1750, 	 0.00000100000000000000, 	 0.61608358969138854455, 	 0.18576344211133730133, 	 0.15584198998764403621, 	 0.16747001758552956807
100000, 	 500, 	 0.36, 	 1800, 	 0.00001000000000000000, 	 0.69673973948438550075, 	 0.16730552289618905171, 	 0.13763041826090077757, 	 0.14888981387728855710
100000, 	 500, 	 0.36, 	 1800, 	 0.00000100000000000000, 	 0.68952779374525052791, 	 0.17157196602443788858, 	 0.13863885044941451352, 	 0.15066360536496281597
100000, 	 500, 	 0.40, 	 1700, 	 0.00001000000000000000, 	 0.85261440890137785154, 	 0.13593937996456789685, 	 0.09433407874245666735, 	 0.10382326123471832813
100000, 	 500, 	 0.40, 	 1700, 	 0.00000100000000000000, 	 0.85003675576076720422, 	 0.13496710455411609075, 	 0.09527593711722519287, 	 0.10473431282894342387
100000, 	 500, 	 0.40, 	 1750, 	 0.00001000000000000000, 	 0.89770432078059336778, 	 0.11968027787378229809, 	 0.07699997039028648460, 	 0.08650357303027816913
100000, 	 500, 	 0.40, 	 1750, 	 0.00000100000000000000, 	 0.89488020721333949581, 	 0.11870521474613358881, 	 0.07818902911549800716, 	 0.08768326227849984611
100000, 	 500, 	 0.40, 	 1800, 	 0.00001000000000000000, 	 0.92976592539259894643, 	 0.10370759065905085783, 	 0.06108663960824313455, 	 0.07157813281912822623
100000, 	 500, 	 0.40, 	 1800, 	 0.00000100000000000000, 	 0.92669911210222011277, 	 0.10273244295266424631, 	 0.06263414573535741603, 	 0.07310283210294665768
100000, 	 500, 	 0.45, 	 1700, 	 0.00001000000000000000, 	 0.94186424543452040847, 	 0.09559998887326898176, 	 0.05302073505506444545, 	 0.06476095807457035725
100000, 	 500, 	 0.45, 	 1700, 	 0.00000100000000000000, 	 0.94412561060230837384, 	 0.09375425694861024006, 	 0.05162420602957628474, 	 0.06341337839945310195
100000, 	 500, 	 0.45, 	 1750, 	 0.00001000000000000000, 	 0.92656169859081349838, 	 0.09055913584203015287, 	 0.06537100614895094419, 	 0.07248847486628937076
100000, 	 500, 	 0.45, 	 1750, 	 0.00000100000000000000, 	 0.92876448539647515901, 	 0.09413748639769364823, 	 0.06459819325476713614, 	 0.07129457227932026187
100000, 	 500, 	 0.45, 	 1800, 	 0.00001000000000000000, 	 0.89620345976115944886, 	 0.10798447131723273862, 	 0.08047731224501515623, 	 0.08600813858065514683
100000, 	 500, 	 0.45, 	 1800, 	 0.00000100000000000000, 	 0.89834019402000364618, 	 0.11163862946848111812, 	 0.07973345853259231064, 	 0.08501304495844545783
100000, 	 600, 	 0.30, 	 1700, 	 0.00001000000000000000, 	 0.45767161299797898266, 	 0.22129725349656623190, 	 0.18461515644377216039, 	 0.19902902046165246719
100000, 	 600, 	 0.30, 	 1700, 	 0.00000100000000000000, 	 0.44586258481819640576, 	 0.22466508228505016609, 	 0.18617805850373519982, 	 0.20120850818512847624
100000, 	 600, 	 0.30, 	 1750, 	 0.00001000000000000000, 	 0.54085265418122419057, 	 0.20666015510940100031, 	 0.16933391910094769406, 	 0.18319900013683368400
100000, 	 600, 	 0.30, 	 1750, 	 0.00000100000000000000, 	 0.52842558945891471289, 	 0.21058880897549026034, 	 0.17095481381738569793, 	 0.18567906773584560987
100000, 	 600, 	 0.30, 	 1800, 	 0.00001000000000000000, 	 0.61279086533633186917, 	 0.19258086591352022166, 	 0.15511748214716683525, 	 0.16828572301587582660
100000, 	 600, 	 0.30, 	 1800, 	 0.00000100000000000000, 	 0.59975104219875863265, 	 0.19672113240933364331, 	 0.15708660013350578266, 	 0.17110506564280331121
