0.00000000000000000000,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 1692568.75064326846040785313,	 0.39999999999999996669,	 0.00000000000000000000,	 0.50265482457436694297,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.04000000000000000083,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000
5.70020000000000059970,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 1692568.75064326846040785313,	 0.43485498002679662255,	 0.03485498002679665586,	 0.59407156944198991066,	 22.30685369121781747026,	 37.54910155382556524728,	 103745.29592435302038211375,	 104450.26343810277467127889,	 0.00000000000000000000,	 0.00000000000000000000,	 -345.39424202074638969862,	 0.00000000000000000000,	 0.00000000000000000000,	 -17.26971210103732090602,	 0.05000000000000000278,	 0.04649237118378243133,	 0.00000000000000000000,	 0.00000000000000000000
5.70130000000000070060,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 1692568.75064326846040785313,	 0.43481586382543552238,	 0.03481586382543555569,	 0.59396469805243345963,	 22.28386950224043516755,	 37.51716150018275897082,	 103631.31938680575694888830,	 104335.08809032115095760673,	 0.00000000000000000000,	 0.00000000000000000000,	 -345.13148779911750807514,	 0.00000000000000000000,	 0.00000000000000000000,	 -17.25657438995587611430,	 0.05000000000000000278,	 0.04645491320724833006,	 0.00000000000000000000,	 0.00000000000000000000
5.70239999999999991331,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 1692568.75064326846040785313,	 0.43477690815144587333,	 0.03477690815144590664,	 0.59385827480264052891,	 22.26046268087790025447,	 37.48446999122108280744,	 103517.66006728616775944829,	 104220.20281254754809197038,	 0.00000000000000000000,	 0.00000000000000000000,	 -344.86164548706079813201,	 0.00000000000000000000,	 0.00000000000000000000,	 -17.24308227435303919606,	 0.04999999999999999584,	 0.04641651286877487154,	 0.00000000000000000000,	 0.00000000000000000000
5.70350000000000001421,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 1692568.75064326846040785313,	 0.43473810491700498604,	 0.03473810491700501935,	 0.59375227748252434878,	 22.23663697922249937733,	 37.45103441708815950051,	 103404.28663557651452720165,	 104105.57662503147730603814,	 0.00000000000000000000,	 0.00000000000000000000,	 -344.58478788499911615872,	 0.00000000000000000000,	 0.00000000000000000000,	 -17.22923939424995509739,	 0.04999999999999999584,	 0.04637717964453014902,	 0.00000000000000000000,	 0.00000000000000000000
5.70460000000000011511,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 1692568.75064326846040785313,	 0.43469944570641316783,	 0.03469944570641320114,	 0.59364668299480993774,	 22.21239543517726389155,	 37.41686102434005789519,	 103291.16704910993576049805,	 103991.17779356733080931008,	 0.00000000000000000000,	 0.00000000000000000000,	 -344.30097755045795793194,	 0.00000000000000000000,	 0.00000000000000000000,	 -17.21504887752290002823,	 0.05000000000000000278,	 0.04633692161324112074,	 0.00000000000000000000,	 0.00000000000000000000
5.70570000000000021600,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 1692568.75064326846040785313,	 0.43466092178973236848,	 0.03466092178973240179,	 0.59354146739260382759,	 22.18774037176227764689,	 37.38195491080318788590,	 103178.26861479890067130327,	 103876.97389127555652521551,	 0.00000000000000000000,	 0.00000000000000000000,	 -344.01026673280506429364,	 0.00000000000000000000,	 0.00000000000000000000,	 -17.20051333664025605685,	 0.05000000000000000971,	 0.04629574544861744800,	 0.00000000000000000000,	 0.00000000000000000000
5.70680000000000031690,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 1692568.75064326846040785313,	 0.43462252413739232981,	 0.03462252413739236312,	 0.59343660591958513617,	 22.16267339926249135829,	 37.34632002506715764412,	 103065.55805279131163842976,	 103762.93186249867721926421,	 0.00000000000000000000,	 0.00000000000000000000,	 -343.71269734986208277405,	 0.00000000000000000000,	 0.00000000000000000000,	 -17.18563486749310698087,	 0.05000000000000000971,	 0.04625365641746066042,	 0.00000000000000000000,	 0.00000000000000000000
5.70790000000000041780,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 1692568.75064326846040785313,	 0.43458424343574147963,	 0.03458424343574151294,	 0.59333207305275759147,	 22.13719542055978806161,	 37.30995917119653881855,	 102953.00156370316108223051,	 103649.01809038133069407195,	 0.00000000000000000000,	 0.00000000000000000000,	 -343.40830101184531031322,	 0.00000000000000000000,	 0.00000000000000000000,	 -17.17041505059226480512,	 0.04999999999999999584,	 0.04621065838419011196,	 0.00000000000000000000,	 0.00000000000000000000
5.70900000000000051870,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 1692568.75064326846040785313,	 0.43454607010385354338,	 0.03454607010385357668,	 0.59322784254860827513,	 22.11130664303069792709,	 37.27287402431542062686,	 102840.56491482438286766410,	 103535.19848384062061086297,	 0.00000000000000000000,	 0.00000000000000000000,	 -343.09709914447000755899,	 0.00000000000000000000,	 0.00000000000000000000,	 -17.15485495722349895686,	 0.04999999999999999584,	 0.04616675382877433176,	 0.00000000000000000000,	 0.00000000000000000000
5.71010000000000061959,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 1692568.75064326846040785313,	 0.43450799431371067705,	 0.03450799431371071035,	 0.59312388749846423064,	 22.08500661421507516025,	 37.23506518572354906382,	 102728.21361775502737145871,	 103421.43865744756476487964,	 0.00000000000000000000,	 0.00000000000000000000,	 -342.77910347343510011342,	 0.00000000000000000000,	 0.00000000000000000000,	 -17.13895517367175358459,	 0.04999999999999999584,	 0.04612194391345844635,	 0.00000000000000000000,	 0.00000000000000000000
