#Artery,<A0_in> [cm^2],<A0_out> [cm^2],<K_in> [g/cm^2/s^2],<K_out> [g/cm^2/s^2],<dx_in> [cm],<dx_out> [cm],<angle_in> [deg],<angle_out> [deg],<P_out> [g/cm/s^2]
0,7.06858347057703451100,7.06858347057703451100,240720.88898037601029500365,240720.88898037601029500365,0.80000000000000004441,0.80000000000000004441,0.00000000000000000000,3.14159265358979311600,0.00000000000000000000
1,0.78539816339744827900,0.78539816339744827900,812433.00030876917298883200,812433.00030876917298883200,0.46774193548387094088,0.46774193548387094088,0.00000000000000000000,3.14159265358979311600,0.00000000000000000000
2,5.30929158456675054367,5.30929158456675054367,240364.79299076009192503989,240364.79299076009192503989,0.40000000000000002220,0.40000000000000002220,0.00000000000000000000,3.14159265358979311600,0.00000000000000000000
3,0.50265482457436694297,0.50265482457436694297,1269426.56298245163634419441,1269426.56298245163634419441,0.51333333333333330817,0.51333333333333330817,0.00000000000000000000,3.14159265358979311600,0.00000000000000000000
4,4.52389342116930226467,4.52389342116930226467,235078.99314489847165532410,235078.99314489847165532410,0.39000000000000001332,0.39000000000000001332,0.00000000000000000000,3.14159265358979311600,0.00000000000000000000
5,0.50265482457436694297,0.50265482457436694297,1269426.56298245163634419441,1269426.56298245163634419441,0.51185185185185178014,0.51185185185185178014,0.00000000000000000000,3.14159265358979311600,0.00000000000000000000
6,2.01061929829746777187,2.01061929829746777187,528927.73457602143753319979,528927.73457602143753319979,0.49285714285714288252,0.49285714285714288252,0.00000000000000000000,3.14159265358979311600,0.00000000000000000000
7,0.78539816339744827900,0.78539816339744827900,6770275.00257307570427656174,6770275.00257307570427656174,1.38428571428571434154,1.38428571428571434154,0.00000000000000000000,3.14159265358979311600,0.00000000000000000000
8,0.78539816339744827900,0.78539816339744827900,6770275.00257307570427656174,6770275.00257307570427656174,1.38428571428571434154,1.38428571428571434154,0.00000000000000000000,3.14159265358979311600,0.00000000000000000000
