t	Pre-Clamp(Aorta raw)	Post-Clamp
10.47	64.8817	66.5747
10.48	67.0297	66.0079
10.49	70.4381	65.4933
10.50	74.5178	65.2695
10.51	79.3284	65.3068
10.52	84.2211	66.2018
10.53	88.808	68.0365
10.54	92.9026	71.4301
10.55	96.5273	76.2332
10.56	99.4211	82.5653
10.57	101.763	89.9192
10.58	103.575	97.8624
10.59	104.918	105.761
10.60	105.522	113.45
10.61	105.761	120.334
10.62	105.403	126.376
10.63	104.62	131.201
10.64	103.501	134.982
10.65	102.196	137.414
10.66	100.652	138.801
10.67	98.7797	139.181
10.68	96.5944	138.794
10.69	94.0586	137.645
10.70	91.2543	136.041
10.71	88.435	133.916
10.72	85.4443	131.626
10.73	82.9532	129.038
10.74	80.6859	126.368
10.75	78.9257	123.333
10.76	77.4116	120.118
10.77	76.2482	116.404
10.78	75.2786	112.488
10.79	74.2866	108.222
10.80	73.3842	103.904
10.81	72.4966	99.5181
10.82	71.7806	95.3787
10.83	71.1019	91.5228
10.84	70.3785	88.092
10.85	69.7892	85.1608
10.86	69.2373	82.6623
10.87	68.7451	80.4323
10.88	68.1857	78.7914
10.89	67.7606	77.3371
10.90	67.231	76.3004
10.91	66.8358	75.4277
10.92	66.3733	74.8162
10.93	65.9482	74.2642
10.94	65.4783	73.8391
10.95	65.098	73.3916
