t	Pre-Clamp(Aorta raw)	Post-Clamp
2.11	71.4375	79.8505
2.12	70.7439	77.9114
2.13	70.3486	76.4719
2.14	69.8042	75.3382
2.15	69.4462	74.3687
2.16	68.9465	73.7496
2.17	68.7003	73.2723
2.18	68.2305	72.9516
2.19	67.865	72.5414
2.20	67.3802	72.3251
2.21	67.0595	72.0118
2.22	66.6195	71.6986
2.23	66.1943	71.266
2.24	65.7319	70.9304
2.25	65.2546	70.5127
2.26	64.74	70.0428
2.27	64.3447	69.5133
2.28	63.8002	69.0807
2.29	63.3975	68.4915
2.30	62.9723	67.9992
2.31	62.7635	67.4324
2.32	62.6218	66.9178
2.33	63.0395	66.3883
2.34	64.0911	65.7319
2.35	66.2838	65.1949
2.36	69.5282	64.6579
2.37	73.7944	64.2104
2.38	78.4782	64.0463
2.39	83.5275	64.3298
2.40	88.1442	65.3888
2.41	92.3208	67.604
2.42	95.8934	71.348
2.43	98.9513	76.5241
2.44	101.345	83.0427
2.45	103.314	90.5532
2.46	104.635	98.2875
2.47	105.425	106.007
2.48	105.597	113.45
2.49	105.321	119.991
2.50	104.53	125.622
2.51	103.575	130.202
2.52	102.143	133.662
2.53	100.614	135.93
2.54	98.7275	137.265
2.55	96.7212	137.533
2.56	94.081	137.093
2.57	91.3363	135.967
2.58	88.3083	134.348
2.59	85.4368	132.335
2.60	82.7518	130.075
2.61	80.5069	127.546
2.62	78.4484	124.787
2.63	76.9492	121.818
2.64	75.5098	118.537
2.65	74.3537	114.957
2.66	73.3767	111.004
2.67	72.4146	106.768
2.68	71.5867	102.315
2.69	71.0124	97.9369
2.70	70.4307	93.7901
2.71	70.0876	89.8297
2.72	69.6997	86.4213
2.73	69.4312	83.4454
2.74	69.0509	80.9767
2.75	68.7525	78.866
2.76	68.3498	77.2177
2.77	67.9843	75.8827
2.78	67.4995	74.8982
2.79	67.149	74.0927
2.80	66.6568	73.5557
2.81	66.2913	73.1455
2.82	65.7692	72.8472
2.83	65.3515	72.4146
2.84	64.8071	72.0864
2.85	64.4193	71.6986
2.86	63.9345	71.363
2.87	63.5093	70.9229
2.88	63.1215	70.4903
2.89	63.0171	70.0205
2.90	63.0022	69.6252
2.91	63.5765	69.0658
2.92	64.822	68.6034
2.93	67.2161	68.0291
2.94	70.4978	67.5145
2.95	74.8385	66.9253
2.96	79.6119	66.4852
2.97	84.7581	65.8513
2.98	89.4792	65.3739
2.99	94.0512	64.8071
3.00	97.8325	64.5013
3.01	101.219	64.4267
3.02	103.986	64.9786
3.03	106.275	66.351
3.04	107.842	69.1702
3.05	108.841	73.3618
3.06	109.057	79.1793
3.07	108.826	86.205
3.08	108.095	93.999
3.09	107.155	101.882
3.10	105.858	109.766
3.11	104.448	116.918
3.12	102.74	123.377
3.13	100.831	128.777
3.14	98.4143	133.155
3.15	95.8337	136.161
3.16	92.8355	138.152
3.17	89.867	138.973
3.18	86.9061	139.025
3.19	84.3852	138.137
3.20	82.0731	136.847
3.21	80.3055	134.938
3.22	78.7616	132.812
3.23	77.5235	130.321
3.24	76.2482	127.89
3.25	75.2487	125.123
3.26	74.3015	122.348
3.27	73.4214	119.156
3.28	72.6532	115.829
3.29	72.1013	112.011
3.30	71.527	107.983
3.31	71.0795	103.732
3.32	70.5575	99.5256
3.33	70.1249	95.4459
3.34	69.6326	91.6645
3.35	69.118	88.0994
3.36	68.6108	85.1907
3.37	68.1932	82.543
3.38	67.6338	80.3428
3.39	67.1565	78.4782
3.40	66.6418	76.994
3.41	66.2316	75.8752
3.42	65.717	74.9877
3.43	65.277	74.3239
3.44	64.8071	73.8167
3.45	64.285	73.317
3.46	63.9046	73.056
3.47	63.7331	72.6085
3.48	63.7778	72.3997
3.49	64.4267	71.982
3.50	65.8438	71.6911
3.51	68.499	71.2735
3.52	72.1834	70.9453
3.53	76.8597	70.4829
3.54	81.9985	70.0279
3.55	87.2939	69.5655
3.56	92.112	69.1404
3.57	96.5944	68.6257
3.58	100.398	68.0813
3.59	103.672	67.4623
3.60	106.357	67.0371
3.61	108.543	66.3733
3.62	110.012	66.0153
3.63	111.071	65.6872
3.64	111.377	65.9184
3.65	111.175	66.7537
3.66	110.564	68.9837
3.67	109.706	72.519
3.68	108.498	77.9188
3.69	107.267	84.4374
3.70	105.664	92.1642
3.71	103.986	100.346
3.72	101.793	108.505
3.73	99.4137	116.187
3.74	96.6094	123.295
