#t [s],	 x [cm],	 R [cm],	 Ux [cm/s],	 Ur [cm/s] 
 0.00000000000000000000 ,	 0.01250000000000000069,	 -0.93750000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000 
0.00000000000000000000 ,	 0.01250000000000000069,	 -0.81250000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000 
0.00000000000000000000 ,	 0.01250000000000000069,	 -0.68750000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000 
0.00000000000000000000 ,	 0.01250000000000000069,	 -0.56250000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000 
0.00000000000000000000 ,	 0.01250000000000000069,	 -0.43750000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000 
0.00000000000000000000 ,	 0.01250000000000000069,	 -0.31250000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000 
0.00000000000000000000 ,	 0.01250000000000000069,	 -0.18750000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000 
0.00000000000000000000 ,	 0.01250000000000000069,	 -0.06250000000000000000,	 0.00000000000000000000,	 0.00000000000000000000 
0.00000000000000000000 ,	 0.01250000000000000069,	 0.06250000000000000000,	 0.00000000000000000000,	 0.00000000000000000000 
0.00000000000000000000 ,	 0.01250000000000000069,	 0.18750000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000 
0.00000000000000000000 ,	 0.01250000000000000069,	 0.31250000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000 
0.00000000000000000000 ,	 0.01250000000000000069,	 0.43750000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000 
0.00000000000000000000 ,	 0.01250000000000000069,	 0.56250000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000 
0.00000000000000000000 ,	 0.01250000000000000069,	 0.68750000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000 
0.00000000000000000000 ,	 0.01250000000000000069,	 0.81250000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000 
0.00000000000000000000 ,	 0.01250000000000000069,	 0.93750000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000 
0.00000000000000000000 ,	 9.98750000000000071054,	 -0.93750000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000 
0.00000000000000000000 ,	 9.98750000000000071054,	 -0.81250000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000 
0.00000000000000000000 ,	 9.98750000000000071054,	 -0.68750000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000 
0.00000000000000000000 ,	 9.98750000000000071054,	 -0.56250000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000 
0.00000000000000000000 ,	 9.98750000000000071054,	 -0.43750000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000 
