0.00000000000000000000,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 855896.49415244802366942167,	 1.50000000000000000000,	 0.00000000000000000000,	 7.06858347057703451100,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.04000000000000000083,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000
5.70020000000000059970,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 855896.49415244802366942167,	 1.99457233145982670841,	 0.49457233145982670841,	 12.49825706992972662590,	 6.82746063586908746856,	 0.54627302012339518100,	 749701.88359150930773466825,	 749702.03279861551709473133,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.09551909751716691765,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.05477595487585834588,	 0.05000000000000000278,	 0.00044412146372057481,	 0.00000000000000000000,	 0.00000000000000000000
5.70130000000000070060,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 855896.49415244802366942167,	 1.99430590874006741231,	 0.49430590874006741231,	 12.49491841211333387207,	 7.73177051383050262245,	 0.61879319726768711174,	 749445.92972422239836305380,	 749446.12117673293687403202,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.24111991957867484615,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.06205599597893374231,	 0.05000000000000000278,	 0.00050311416922512256,	 0.00000000000000000000,	 0.00000000000000000000
5.70239999999999991331,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 855896.49415244802366942167,	 1.99413626371555108285,	 0.49413626371555108285,	 12.49279274967086550419,	 10.80845557202303020006,	 0.86517528855249670183,	 749353.53695783682633191347,	 749353.91122197674121707678,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.73543865440863886995,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.08677193272043194627,	 0.05000000000000000278,	 0.00070346678535024255,	 0.00000000000000000000,	 0.00000000000000000000
5.70350000000000001421,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 855896.49415244802366942167,	 1.99403514071829124354,	 0.49403514071829124354,	 12.49152575840384038486,	 15.50628118712467795604,	 1.24134405092129118664,	 749328.82943853433243930340,	 749329.59990606072824448347,	 0.00000000000000000000,	 0.00000000000000000000,	 -2.49011469371424265518,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.12450573468571214664,	 0.05000000000000000278,	 0.00100935204992264093,	 0.00000000000000000000,	 0.00000000000000000000
5.70460000000000011511,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 855896.49415244802366942167,	 1.99398788404077476066,	 0.49398788404077476066,	 12.49093369159665201096,	 20.74593256162527765696,	 1.66087924840896583589,	 749339.95209682104177772999,	 749341.33135675988160073757,	 0.00000000000000000000,	 0.00000000000000000000,	 -3.33177400264484857573,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.16658870013224241768,	 0.04999999999999999584,	 0.00135049725966240137,	 0.00000000000000000000,	 0.00000000000000000000
5.70570000000000021600,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 855896.49415244802366942167,	 1.99396043967174874112,	 0.49396043967174874112,	 12.49058985456800918712,	 25.73856340323724722907,	 2.06063634327279121550,	 749307.26186970376875251532,	 749309.38498077332042157650,	 0.00000000000000000000,	 0.00000000000000000000,	 -4.13375572007239799888,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.20668778600361989439,	 0.04999999999999999584,	 0.00167556003171564637,	 0.00000000000000000000,	 0.00000000000000000000
5.70680000000000031690,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 855896.49415244802366942167,	 1.99393747980824986854,	 0.49393747980824986854,	 12.49030220534361212970,	 30.34158996687733633735,	 2.42921183715607558185,	 749280.06445775274187326431,	 749283.01499282766599208117,	 0.00000000000000000000,	 0.00000000000000000000,	 -4.87319559766675247658,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.24365977988333764603,	 0.05000000000000000278,	 0.00197527026565978529,	 0.00000000000000000000,	 0.00000000000000000000
5.70790000000000041780,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 855896.49415244802366942167,	 1.99391879699708041151,	 0.49391879699708041151,	 12.49006814297538703329,	 34.81491635111454030493,	 2.78740803913828161242,	 749261.10574940743390470743,	 749264.99057119572535157204,	 0.00000000000000000000,	 0.00000000000000000000,	 -5.59181857021705486233,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.27959092851085276532,	 0.05000000000000000278,	 0.00226654173525549099,	 0.00000000000000000000,	 0.00000000000000000000
5.70900000000000051870,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 855896.49415244802366942167,	 1.99390663845097382278,	 0.49390663845097382278,	 12.48991581921314164560,	 39.33066380601430012121,	 3.14899350606608896541,	 749259.45696052501443773508,	 749264.41504057566635310650,	 0.00000000000000000000,	 0.00000000000000000000,	 -6.31723360630862718068,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.31586168031543138124,	 0.05000000000000000278,	 0.00256056769101317781,	 0.00000000000000000000,	 0.00000000000000000000
5.71010000000000061959,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 855896.49415244802366942167,	 1.99390539127809374165,	 0.49390539127809374165,	 12.48990019453031052876,	 43.89844230676285263826,	 3.51471521974108735975,	 749281.21132864651735872030,	 749287.38794018444605171680,	 0.00000000000000000000,	 0.00000000000000000000,	 -7.05091672877849795498,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.35254583643892495326,	 0.05000000000000000971,	 0.00285795097133613582,	 0.00000000000000000000,	 0.00000000000000000000
